classification,code,level,htei_status,description_en,description_ru,methodological_tier,notes
NACE_REV2,21,2-digit,direct_high_tech,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Производство фармацевтических субстанций и препаратов,direct,Eurostat high-technology manufacturing
NACE_REV2,26,2-digit,direct_high_tech,Manufacture of computer electronic and optical products,Производство компьютеров электронных и оптических изделий,direct,Eurostat high-technology manufacturing
NACE_REV2,20,2-digit,medium_high_tech,Manufacture of chemicals and chemical products,Производство химических веществ и химических продуктов,context,Eurostat medium-high-technology manufacturing
NACE_REV2,27,2-digit,medium_high_tech,Manufacture of electrical equipment,Производство электрического оборудования,context,Eurostat medium-high-technology manufacturing
NACE_REV2,28,2-digit,medium_high_tech,Manufacture of machinery and equipment n.e.c.,Производство машин и оборудования,context,Eurostat medium-high-technology manufacturing
NACE_REV2,29,2-digit,medium_high_tech,Manufacture of motor vehicles trailers and semi-trailers,Производство автотранспортных средств,context,Eurostat medium-high-technology manufacturing
NACE_REV2,30,2-digit,medium_high_tech,Manufacture of other transport equipment,Производство прочих транспортных средств,context,Eurostat medium-high-technology manufacturing
NACE_REV2,59-63,2-digit,high_tech_knowledge_intensive_services,Audiovisual telecommunications computer programming and information services,Аудиовизуальные услуги телекоммуникации программирование и информационные услуги,direct_group,Eurostat high-tech knowledge-intensive services grouping
NACE_REV2,72,2-digit,high_tech_knowledge_intensive_services,Scientific research and development,Научные исследования и разработки,direct,Eurostat high-tech knowledge-intensive services
ISIC_REV4,J,section,broad_proxy,Information and communication,Информация и связь,broad_proxy,Global fallback; broader than Eurostat high-tech/KIS
ISIC_REV4,M,section,broad_proxy,Professional scientific and technical activities,Профессиональная научная и техническая деятельность,broad_proxy,Global fallback; broader than Eurostat high-tech/KIS
