iso3,country,region,income_group,coverage_count,mean_percentile,HDI_percentile,HDI_rank,HDI_universe,HDI_score,HDI_value_year,HDI_source_data_year,HDI_data_quality,HDI_value_id,HCI_PLUS_percentile,HCI_PLUS_rank,HCI_PLUS_universe,HCI_PLUS_score,HCI_PLUS_value_year,HCI_PLUS_source_data_year,HCI_PLUS_data_quality,HCI_PLUS_value_id,GTCI_percentile,GTCI_rank,GTCI_universe,GTCI_score,GTCI_value_year,GTCI_source_data_year,GTCI_data_quality,GTCI_value_id,GII_percentile,GII_rank,GII_universe,GII_score,GII_value_year,GII_source_data_year,GII_data_quality,GII_value_id,IDI_percentile,IDI_rank,IDI_universe,IDI_score,IDI_value_year,IDI_source_data_year,IDI_data_quality,IDI_value_id,QS_ET_percentile,QS_ET_rank,QS_ET_universe,QS_ET_score,QS_ET_value_year,QS_ET_source_data_year,QS_ET_data_quality,QS_ET_value_id,HTEI_percentile,HTEI_rank,HTEI_universe,HTEI_score,HTEI_value_year,HTEI_source_data_year,HTEI_data_quality,HTEI_value_id
GBR,Великобритания,Europe,High income,7,93.62887921518987,93.2642,14,193,94.6,2023,2023,1.0,HDI:GBR:2023:score,91.13924050632912,15,158,261.0,2026,2026,1.0,HCI_PLUS:GBR:2026,91.8519,12,135,67.52,2025,2025,1.0,GTCI:GBR:2025:score,96.4029,6,139,59.1153757105143,2025,2025,1.0,GII:GBR:2025:score,90.2439,17,164,95.4,2025,2023,1.0,IDI:GBR:2025:score,98.2143,2,56,68.95575501046713,2026,2026,1.0,QS_ET:GBR:2026:score,94.285714,7,105,71.15645,2026,2025,0.8725,HTEI_V6:proxy_extended:2026:GBR
USA,США,North America,High income,7,93.39563816998192,90.6736,19,193,93.8,2023,2023,1.0,HDI:USA:2023:score,84.17721518987342,26,158,252.0,2026,2026,1.0,HCI_PLUS:USA:2026,94.0741,9,135,69.41,2025,2025,1.0,GTCI:USA:2025:score,98.5612,3,139,61.6892112586677,2025,2025,1.0,GII:USA:2025:score,93.9024,11,164,97.4,2025,2023,1.0,IDI:USA:2025:score,100.0,1,56,90.5615696887686,2026,2026,1.0,QS_ET:USA:2026:score,92.380952,9,105,67.480856,2026,2025,0.9417,HTEI_V6:proxy_extended:2026:USA
AUS,Австралия,East Asia & Pacific,High income,7,92.00481717359855,96.8912,7,193,95.8,2023,2023,1.0,HDI:AUS:2023:score,98.73417721518987,3,158,270.0,2026,2026,1.0,HCI_PLUS:AUS:2026,93.3333,10,135,69.27,2025,2025,1.0,GTCI:AUS:2025:score,84.8921,22,139,48.0058166127025,2025,2025,1.0,GII:AUS:2025:score,92.6829,13,164,95.8,2025,2023,1.0,IDI:AUS:2025:score,94.6429,4,56,54.44006079849404,2026,2026,1.0,QS_ET:AUS:2026:score,82.857143,19,105,60.613721,2026,2025,0.8725,HTEI_V6:proxy_extended:2026:AUS
KOR,Республика Корея,East Asia & Pacific,High income,7,89.52133960759495,90.1554,20,193,93.7,2023,2023,1.0,HDI:KOR:2023:score,95.56962025316456,8,158,267.0,2026,2026,1.0,HCI_PLUS:KOR:2026,77.7778,31,135,58.08,2025,2025,1.0,GTCI:KOR:2025:score,97.8417,4,139,59.9976353178735,2025,2025,1.0,GII:KOR:2025:score,87.8049,21,164,95.1,2025,2023,1.0,IDI:KOR:2025:score,80.3571,12,56,45.501366867830384,2026,2026,1.0,QS_ET:KOR:2026:score,97.142857,4,105,80.184729,2026,2025,0.9514,HTEI_V6:proxy_extended:2026:KOR
DEU,Германия,Europe,High income,7,87.33418193490054,97.9275,5,193,95.89999999999999,2023,2023,1.0,HDI:DEU:2023:score,87.9746835443038,20,158,256.0,2026,2026,1.0,HCI_PLUS:DEU:2026,88.1481,17,135,65.73,2025,2025,1.0,GTCI:DEU:2025:score,92.8058,11,139,55.4553512524913,2025,2025,1.0,GII:DEU:2025:score,68.2927,53,164,89.6,2025,2023,1.0,IDI:DEU:2025:score,85.7143,9,56,48.24218755493598,2026,2026,1.0,QS_ET:DEU:2026:score,90.47619,11,105,66.105499,2026,2025,0.9563,HTEI_V6:proxy_extended:2026:DEU
JPN,Япония,East Asia & Pacific,High income,7,86.50892514285715,88.601,23,193,92.5,2023,2023,1.0,HDI:JPN:2023:score,100.0,1,158,284.0,2026,2026,1.0,HCI_PLUS:JPN:2026,80.0,28,135,58.59,2025,2025,1.0,GTCI:JPN:2025:score,92.0863,12,139,53.5565691353389,2025,2025,1.0,GII:JPN:2025:score,84.7561,26,164,93.6,2025,2023,1.0,IDI:JPN:2025:score,83.9286,10,56,46.9776738534117,2026,2026,1.0,QS_ET:JPN:2026:score,76.190476,26,105,54.498881,2026,2025,0.8667,HTEI_V6:proxy_extended:2026:JPN
CAN,Канада,North America,High income,6,85.61363438818564,92.228,16,193,93.89999999999999,2023,2023,1.0,HDI:CAN:2023:score,89.24050632911393,18,158,257.0,2026,2026,1.0,HCI_PLUS:CAN:2026,90.3704,14,135,66.4,2025,2025,1.0,GTCI:CAN:2025:score,88.4892,17,139,51.0643545243557,2025,2025,1.0,GII:CAN:2025:score,65.8537,57,164,89.1,2025,2023,1.0,IDI:CAN:2025:score,87.5,8,56,48.89882895379334,2026,2026,1.0,QS_ET:CAN:2026:score,,,,,,,,
FRA,Франция,Europe,High income,7,82.21432025678119,87.0466,26,193,92.0,2023,2023,1.0,HDI:FRA:2023:score,83.54430379746836,27,158,251.0,2026,2026,1.0,HCI_PLUS:FRA:2026,86.6667,19,135,62.88,2025,2025,1.0,GTCI:FRA:2025:score,91.3669,13,139,53.4156786988289,2025,2025,1.0,GII:FRA:2025:score,73.7805,44,164,90.9,2025,2023,1.0,IDI:FRA:2025:score,75.0,15,56,43.34863497042096,2026,2026,1.0,QS_ET:FRA:2026:score,78.095238,24,105,55.944216,2026,2025,0.9514,HTEI_V6:proxy_extended:2026:FRA
CHN,Китай,East Asia & Pacific,Upper middle income,6,75.50295126582279,60.1036,78,193,79.7,2023,2023,1.0,HDI:CHN:2023:score,67.08860759493672,53,158,220.0,2026,2026,1.0,HCI_PLUS:CHN:2026,61.4815,53,135,48.65,2025,2025,1.0,GTCI:CHN:2025:score,93.5252,10,139,56.5551447506996,2025,2025,1.0,GII:CHN:2025:score,74.3902,43,164,91.2,2025,2023,1.0,IDI:CHN:2025:score,96.4286,3,56,63.77918228475301,2026,2026,1.0,QS_ET:CHN:2026:score,,,,,,,,
SAU,Саудовская Аравия,"Middle East, North Africa, Afghanistan & Pakistan",High income,6,75.32159367088607,81.3472,37,193,90.0,2023,2023,1.0,HDI:SAU:2023:score,64.55696202531645,57,158,210.0,2026,2026,1.0,HCI_PLUS:SAU:2026,65.1852,48,135,50.06,2025,2025,1.0,GTCI:SAU:2025:score,67.6259,46,139,36.0448190047954,2025,2025,1.0,GII:SAU:2025:score,100.0,1,164,99.2,2025,2023,1.0,IDI:SAU:2025:score,73.2143,16,56,42.684072048711414,2026,2026,1.0,QS_ET:SAU:2026:score,,,,,,,,
