iso3,country_en,country_ru,HDI,HCI_PLUS,GTCI,GII,IDI,QS_ET,HTEI
ISR,Israel,Израиль,27,30,23,14,29,49,1
KOR,South Korea,Республика Корея,20,8,31,4,21,12,2
IRL,Ireland,Ирландия,11,5,11,18,40,44,3
SGP,Singapore,Сингапур,13,2,1,5,8,5,4
SWE,Sweden,Швеция,6,6,5,2,14,20,5
FIN,Finland,Финляндия,12,21,4,7,2,39,6
CHE,Switzerland,Швейцария,3,10,2,1,33,7,7
USA,United States,США,19,26,9,3,11,1,8
DEU,Germany,Германия,5,20,17,11,53,9,9
DNK,Denmark,Дания,4,11,3,9,7,23,10
LIE,Liechtenstein,Лихтенштейн,17,,,,30,,11
NLD,Netherlands,Нидерланды,9,4,6,8,27,17,12
AUT,Austria,Австрия,22,23,16,19,16,35,13
EST,Estonia,Эстония,36,14,21,16,3,56,14
BEL,Belgium,Бельгия,10,33,15,21,51,26,15
ISL,Iceland,Исландия,1,7,13,24,12,,16
CZE,Czechia,Чехия,29,29,20,32,56,37,17
SVN,Slovenia,Словения,21,25,29,35,41,,18
LUX,Luxembourg,Люксембург,25,36,8,23,34,,19
HKG,Hong Kong,Гонконг,8,,,15,9,11,20
HUN,Hungary,Венгрия,46,37,37,36,60,45,21
NZL,New Zealand,Новая Зеландия,18,13,18,26,42,25,22
NOR,Norway,Норвегия,2,9,7,20,24,30,23
PRT,Portugal,Португалия,40,32,24,31,61,42,24
FRA,France,Франция,26,27,19,13,44,15,25
RUS,Russian Federation,Россия,64,31,62,60,37,32,26
CAN,Canada,Канада,16,18,14,17,57,8,27
BGR,Bulgaria,Болгария,55,47,47,37,49,,28
POL,Poland,Польша,35,16,36,39,15,47,29
SVK,Slovakia,Словакия,44,39,34,47,65,,30
GBR,United Kingdom,Великобритания,14,15,12,6,17,2,31
AUS,Australia,Австралия,7,3,10,22,13,4,32
JPN,Japan,Япония,23,1,28,12,26,10,33
SRB,Serbia,Сербия,63,40,54,54,58,,34
LTU,Lithuania,Литва,39,17,27,33,18,,35
HRV,Croatia,Хорватия,41,35,41,40,32,,36
ROU,Romania,Румыния,56,73,55,49,54,56,37
CYM,Cayman Islands,Каймановы острова,,,,,,,38
ESP,Spain,Испания,28,34,26,29,31,21,39
GRC,Greece,Греция,34,50,40,42,69,31,40
TWN,Taiwan,Тайвань,,,,,,19,41
ITA,Italy,Италия,30,49,32,28,62,13,42
LVA,Latvia,Латвия,42,24,33,41,22,,43
BLR,Belarus,Беларусь,65,28,57,85,46,,44
COG,Congo,Конго - Браззавиль,138,138,,137,145,,45
SMR,San Marino,Сан-Марино,31,,,,36,,46
CYP,Cyprus,Кипр,33,19,30,25,50,,47
BMU,Bermuda,Бермуды,,,,,,,48
CHL,Chile,Чили,45,46,39,51,28,29,49
NIU,Niue,Ниуэ,,,,,,,50
ARE,United Arab Emirates,ОАЭ,15,12,25,30,6,28,51
TTO,Trinidad and Tobago,Тринидад и Тобаго,72,81,,114,98,,52
MLT,Malta,Мальта,24,22,22,27,23,,53
MKD,North Macedonia,Северная Македония,68,66,64,63,79,,54
UKR,Ukraine,Украина,87,54,61,66,90,58,55
CHN,China,Китай,78,53,53,10,43,3,56
BRN,Brunei Darussalam,Бруней,60,60,43,88,25,,57
MYS,Malaysia,Малайзия,67,70,46,34,19,18,58
TUR,Türkiye,Турция,51,44,82,43,63,22,59
ARG,Argentina,Аргентина,47,71,58,77,87,33,60
COL,Colombia,Колумбия,83,74,69,71,106,40,61
CRI,Costa Rica,Коста-Рика,62,80,44,72,72,,62
IND,India,Индия,131,104,100,38,,6,63
DJI,Djibouti,Джибути,175,,,,126,,64
URY,Uruguay,Уругвай,49,63,42,68,48,,65
MUS,Mauritius,Маврикий,73,69,49,53,73,,66
GIN,Guinea,Гвинея,179,153,,133,,,67
ARM,Armenia,Армения,69,48,59,59,70,,68
KAZ,Kazakhstan,Казахстан,61,41,72,81,47,54,69
BIH,Bosnia and Herzegovina,Босния и Герцеговина,74,79,66,92,91,,70
BRA,Brazil,Бразилия,84,65,68,52,84,24,71
MDA,Moldova,Молдова,86,51,67,74,88,,72
LBN,Lebanon,Ливан,102,103,78,90,97,50,73
ZAF,South Africa,ЮАР,106,131,79,61,80,53,74
TUN,Tunisia,Тунис,105,101,88,76,99,,75
BFA,Burkina Faso,Буркина-Фасо,186,151,130,126,166,,76
VGB,Virgin Islands  British,Британские Виргинские острова,,,,,,,77
IRN,Iran,Иран,75,85,102,70,67,46,78
VNM,Vietnam,Вьетнам,94,55,76,44,75,55,79
TUV,Tuvalu,Тувалу,129,96,,,,,80
MNE,Montenegro,Черногория,48,52,52,64,52,,81
BRB,Barbados,Барбадос,70,,,84,100,,82
MEX,Mexico,Мексика,82,78,70,58,92,14,83
ERI,Eritrea,Эритрея,178,,,,,,84
GEO,Georgia,Грузия,57,56,45,56,55,,85
PSE,Palestine  State of,Палестинские территории,134,105,,,121,,86
KWT,Kuwait,Кувейт,52,76,51,73,4,49,87
PER,Peru,Перу,79,62,73,80,104,,88
OMN,Oman,Оман,50,61,56,69,35,48,89
QAT,Qatar,Катар,43,43,35,48,5,38,90
AZE,Azerbaijan,Азербайджан,81,59,60,94,76,,91
AND,Andorra,Андорра,32,,,,45,,92
IMN,Isle of Man,Остров Мэн,,,,,,,93
KGZ,Kyrgyzstan,Киргизия,118,75,87,96,77,,94
PAK,Pakistan,Пакистан,168,135,124,99,138,27,95
CUW,Curaçao,Кюрасао,,,,,,,96
PRI,Puerto Rico,Пуэрто-Рико,,,,,,,97
SYC,Seychelles,Сейшельские о-ва,54,45,50,75,94,,98
MNG,Mongolia,Монголия,104,58,65,78,64,,99
JAM,Jamaica,Ямайка,117,72,,83,96,,100
JOR,Jordan,Иордания,101,94,74,65,82,41,101
PRK,Korea  Democratic People's Republic of,КНДР,,,,,,,102
PHL,Philippines,Филиппины,119,89,75,50,102,,103
PLW,Palau,Палау,85,42,,,,,104
LKA,Sri Lanka,Шри-Ланка,91,,92,93,116,,105
UZB,Uzbekistan,Узбекистан,107,95,71,79,71,58,106
ALB,Albania,Албания,71,64,63,67,85,,107
BHR,Bahrain,Бахрейн,38,38,38,62,10,,108
