file_id,source_id,distribution_kind,filename,extension,media_type,bytes_count,sha256,release_year,retrieved_at,download_allowed,release_archive_decision,official_url,snapshot_id,artifact_id
artifact.cmVjaXBlOkNPUlBPUkFURV9SRVBPUlRTX0hURUk6MjAyNjozMzE3N2NiZDZhZjQ1ZTJi,CORPORATE_REPORTS_HTEI,download_recipe,CORPORATE_REPORTS_HTEI_2026_33177cbd6af45e2b.json,json,application/json,799,5df0a81f520e8341c6ed1d68a0476adeb6043bd543d47a574334dd9628c92eac,2026,2026-07-11T12:05:47+00:00,False,exclude_raw_keep_derived,local:methodology/corporate-report-register,CORPORATE_REPORTS_HTEI:2026:33177cbd6af45e2b,recipe:CORPORATE_REPORTS_HTEI:2026:33177cbd6af45e2b
artifact.ZGVyaXZlZDpDT1JQT1JBVEVfUkVQT1JUU19IVEVJOjIwMjY6MzMxNzdjYmQ2YWY0NWUyYg,CORPORATE_REPORTS_HTEI,derived_export,CORPORATE_REPORTS_HTEI_2026_33177cbd6af45e2b.json.gz,gz,application/json,403,d26dd725675ba992d23071b138624bf3cf392c941a8d07cdda00057dcbff5cd6,2026,2026-07-11T12:05:47+00:00,False,exclude_raw_keep_derived,local:methodology/corporate-report-register,CORPORATE_REPORTS_HTEI:2026:33177cbd6af45e2b,derived:CORPORATE_REPORTS_HTEI:2026:33177cbd6af45e2b
raw.Q09SUE9SQVRFX1JFUE9SVFNfSFRFSToyMDI2OjMzMTc3Y2JkNmFmNDVlMmI,CORPORATE_REPORTS_HTEI,raw_snapshot,corporate_reports_htei_register.json,json,application/json,408,33177cbd6af45e2b9855bdc186f29e1ff470fbeea733d7135ecc1bdb12b2fb37,2026,2026-07-09T17:25:48+00:00,False,metadata_only,local:methodology/corporate-report-register,CORPORATE_REPORTS_HTEI:2026:33177cbd6af45e2b,
artifact.cmF3OkVVUk9TVEFUX0hURUM6MjAyNTo3OTM4NTYzYWU0OGUwYzdk,EUROSTAT_HTEC,raw_included,eurostat_htei_manifest.json,json,application/json,2005,7938563ae48e0c7da3414cc9ae4f9ee6e048b7352a34fc5f0ad22e94ebdfb304,2025,2026-07-11T12:05:47+00:00,True,include,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/,EUROSTAT_HTEC:2025:7938563ae48e0c7d,raw:EUROSTAT_HTEC:2025:7938563ae48e0c7d
artifact.cmF3OkVVUk9TVEFUX0hURUM6MjAyNTpmMDYxYWIxYzI2MDFiZTRj,EUROSTAT_HTEC,raw_included,eurostat_htei_manifest.json,json,application/json,1428,f061ab1c2601be4cd48835b2d712bf32669d033a37e547e40b8fb8a76f76cbbb,2025,2026-07-11T12:05:47+00:00,True,include,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/,EUROSTAT_HTEC:2025:f061ab1c2601be4c,raw:EUROSTAT_HTEC:2025:f061ab1c2601be4c
artifact.cmF3OkhURUlfRklOQUxfVjY6MjAyNg,HTEI_FINAL_V6,raw_included,htei_final_v6_manifest.json,json,application/json,754,507157f9041d8ae0a3d4b84b678b3c5e3a46c5be5b00c2ef9d2ba2e8d5b854f2,2026,2026-07-11T12:05:47+00:00,True,include,local:docs/HTEI_METHODOLOGY_V6.md,HTEI_FINAL_V6:2026,raw:HTEI_FINAL_V6:2026
artifact.cmF3OkhURUlfTVVMVElfU09VUkNFOjIwMjY6OTQ3ODExNWI2MzQ4N2VlMA,HTEI_MULTI_SOURCE,raw_included,htei_asof_release_manifest.json,json,application/json,404,9478115b63487ee028271b68cafb9c0a0b7889d1b96a28c8b4b730729f5eb3bc,2026,2026-07-11T12:05:47+00:00,True,include,local:methodology/htei-v3-asof,HTEI_MULTI_SOURCE:2026:9478115b63487ee0,raw:HTEI_MULTI_SOURCE:2026:9478115b63487ee0
artifact.cmF3OkhURUlfTVVMVElfU09VUkNFOjIwMjY6NTAxMTkzMjJmNjYxYmI0Nw,HTEI_MULTI_SOURCE,raw_included,htei_v3_multisource_manifest.json,json,application/json,1336,50119322f661bb470b6778a834b2578a15e357fc587b8e4e06418149e2f4fd6e,2026,2026-07-11T12:05:47+00:00,True,include,local:methodology/htei-v3,HTEI_MULTI_SOURCE:2026:50119322f661bb47,raw:HTEI_MULTI_SOURCE:2026:50119322f661bb47
artifact.cmF3OkhURUlfTVVMVElfU09VUkNFOjIwMjY6ZTI3NjQ1YzBiMmM5YzBhMQ,HTEI_MULTI_SOURCE,raw_included,htei_v3_multisource_manifest.json,json,application/json,990,e27645c0b2c9c0a1044c0aaea085e930551095ada30a2f7d9dca11a9e057a2aa,2026,2026-07-11T12:05:47+00:00,True,include,local:methodology/htei-v3,HTEI_MULTI_SOURCE:2026:e27645c0b2c9c0a1,raw:HTEI_MULTI_SOURCE:2026:e27645c0b2c9c0a1
artifact.cmF3OkhURUlfU0NJRU5USUZJQ19WNToyMDI2OmE0OTg4MjM4NmNhODczYTA,HTEI_SCIENTIFIC_V5,raw_included,htei_scientific_v5_manifest.json,json,application/json,6913,a49882386ca873a0e3d55dba564b549621d7ef4b431cc3fe20cc425857a2901a,2026,2026-07-11T12:05:47+00:00,True,include,local:docs/HTEI_METHODOLOGY_V5.md,HTEI_SCIENTIFIC_V5:2026:a49882386ca873a0,raw:HTEI_SCIENTIFIC_V5:2026:a49882386ca873a0
artifact.cmF3OklMT1NUQVRfSFRFSToyMDI1OjFlOTJmNmYwMGZjMzU4ODU,ILOSTAT_HTEI,raw_included,ilostat_htei_manifest.json,json,application/json,1351,1e92f6f00fc358852b8ad1b603d67763a3b3a08ea4637e73051c53574fc1ac9a,2025,2026-07-11T12:05:47+00:00,True,include,https://rplumber.ilo.org/files/website/bulk/indicator.html,ILOSTAT_HTEI:2025:1e92f6f00fc35885,raw:ILOSTAT_HTEI:2025:1e92f6f00fc35885
