release_year,source_order,iso3,country_name,rank,tied_rank,score,rank_change,rank_change_direction,ongoing_conflict_score,societal_safety_security_score,militarisation_score,quality_flag,source_overall_pdf_page,source_domains_pdf_pages
2026,1,ISL,Iceland,1,0,1.161,0,same,1.101,1.288,1.027,official_published_value,12,"114,115,116"
2026,2,NZL,New Zealand,2,0,1.343,1,up,1.119,1.497,1.409,official_published_value,12,"114,115,116"
2026,3,CHE,Switzerland,3,0,1.363,-1,down,1.144,1.433,1.564,official_published_value,12,"114,115,116"
2026,4,SVN,Slovenia,4,0,1.369,2,up,1.302,1.452,1.308,official_published_value,12,"114,115,116"
2026,5,IRL,Ireland,5,0,1.371,-1,down,1.220,1.525,1.339,official_published_value,12,"114,115,116"
2026,6,AUT,Austria,6,0,1.421,-1,down,1.245,1.622,1.336,official_published_value,12,"114,115,116"
2026,7,PRT,Portugal,7,0,1.427,1,up,1.254,1.669,1.231,official_published_value,12,"114,115,116"
2026,8,SGP,Singapore,8,0,1.435,-1,down,1.119,1.341,2.095,official_published_value,12,"114,115,116"
2026,9,FIN,Finland,9,0,1.478,1,up,1.547,1.287,1.717,official_published_value,12,"114,115,116"
2026,10,JPN,Japan,10,0,1.489,3,up,1.503,1.296,1.794,official_published_value,12,"114,115,116"
2026,11,DNK,Denmark,11,0,1.504,-2,down,1.346,1.321,2.080,official_published_value,12,"114,115,116"
2026,12,MYS,Malaysia,12,0,1.513,-1,down,1.225,1.917,1.204,official_published_value,12,"114,115,116"
2026,13,CZE,Czechia,13,0,1.517,-1,down,1.364,1.641,1.498,official_published_value,12,"114,115,116"
2026,14,CAN,Canada,14,0,1.525,1,up,1.465,1.554,1.569,official_published_value,12,"114,115,116"
2026,15,HUN,Hungary,15,0,1.538,-1,down,1.403,1.717,1.426,official_published_value,12,"114,115,116"
2026,16,BTN,Bhutan,16,0,1.546,2,up,1.419,1.788,1.281,official_published_value,12,"114,115,116"
2026,17,NLD,Netherlands,17,0,1.566,0,same,1.286,1.473,2.169,official_published_value,12,"114,115,116"
2026,18,MUS,Mauritius,18,0,1.586,11,up,1.101,2.096,1.369,official_published_value,12,"114,115,116"
2026,19,LVA,Latvia,19,0,1.589,0,same,1.538,1.558,1.713,official_published_value,12,"114,115,116"
2026,20,AUS,Australia,20,0,1.602,4,up,1.465,1.663,1.704,official_published_value,12,"114,115,116"
2026,21,BEL,Belgium,21,0,1.608,-5,down,1.267,1.695,1.992,official_published_value,12,"114,115,116"
2026,22,POL,Poland,22,0,1.615,23,up,1.424,1.606,1.935,official_published_value,12,"114,115,116"
2026,23,HRV,Croatia,23,0,1.619,2,up,1.403,1.700,1.820,official_published_value,12,"114,115,116"
2026,24,LTU,Lithuania,24,0,1.620,3,up,1.547,1.494,1.956,official_published_value,12,"114,115,116"
2026,25,EST,Estonia,25,0,1.623,-5,down,1.547,1.454,2.068,official_published_value,12,"114,115,116"
2026,26,BGR,Bulgaria,26,0,1.628,-4,down,1.403,1.735,1.795,official_published_value,12,"114,115,116"
2026,27,ESP,Spain,27,0,1.654,4,up,1.360,1.765,1.884,official_published_value,12,"114,115,116"
2026,28,DEU,Germany,28,0,1.657,-5,down,1.267,1.739,2.083,official_published_value,12,"114,115,116"
2026,29,SVK,Slovakia,29,0,1.661,-3,down,1.604,1.749,1.585,official_published_value,12,"114,115,116"
2026,30,MNE,Montenegro,30,0,1.672,-2,down,1.503,1.817,1.690,official_published_value,12,"114,115,116"
2026,31,QAT,Qatar,31,0,1.676,-10,down,1.674,1.369,2.247,official_published_value,12,"114,115,116"
2026,32,TLS,Timor-Leste,32,0,1.681,-2,down,1.503,1.885,1.604,official_published_value,12,"114,115,116"
2026,33,NOR,Norway,33,0,1.688,0,same,1.565,1.243,2.689,official_published_value,12,"114,115,116"
2026,34,MNG,Mongolia,34,0,1.692,4,up,1.302,2.148,1.423,official_published_value,12,"114,115,116"
2026,35,ITA,Italy,35,0,1.712,0,same,1.245,1.664,2.494,official_published_value,12,"114,115,116"
2026,36,ALB,Albania,36,0,1.725,7,up,1.503,1.812,1.933,official_published_value,12,"114,115,116"
2026,37,UZB,Uzbekistan,37,0,1.726,10,up,1.411,1.995,1.737,official_published_value,12,"114,115,116"
2026,38,GNQ,Equatorial Guinea,38,0,1.729,20,up,1.705,1.875,1.527,official_published_value,12,"114,115,116"
2026,39,GBR,United Kingdom,39,0,1.730,-7,down,1.414,1.560,2.507,official_published_value,12,"114,115,116"
2026,40,SWE,Sweden,40,0,1.732,-1,down,1.803,1.463,2.120,official_published_value,12,"114,115,116"
2026,41,VNM,Vietnam,41,0,1.738,-1,down,1.622,1.908,1.610,official_published_value,12,"114,115,116"
2026,42,TWN,Taiwan,42,0,1.751,-5,down,1.805,1.672,1.808,official_published_value,12,"114,115,116"
2026,43,URY,Uruguay,43,0,1.754,-1,down,1.101,2.411,1.529,official_published_value,12,"114,115,116"
2026,44,KAZ,Kazakhstan,44,0,1.771,5,up,1.421,2.087,1.750,official_published_value,12,"114,115,116"
