iso3,country,score,rank,percentile,value_year,source_data_year,source_id,quality_flag
CHE,Швейцария,65.9619514450125,1,100.0,2025,2025,WIPO_GII,official_value
SWE,Швеция,62.5781910502956,2,99.2806,2025,2025,WIPO_GII,official_value
USA,США,61.6892112586677,3,98.5612,2025,2025,WIPO_GII,official_value
KOR,Республика Корея,59.9976353178735,4,97.8417,2025,2025,WIPO_GII,official_value
SGP,Сингапур,59.9434212495639,5,97.1223,2025,2025,WIPO_GII,official_value
GBR,Великобритания,59.1153757105143,6,96.4029,2025,2025,WIPO_GII,official_value
FIN,Финляндия,57.7063647384345,7,95.6835,2025,2025,WIPO_GII,official_value
NLD,Нидерланды,57.035492429262,8,94.964,2025,2025,WIPO_GII,official_value
DNK,Дания,56.914915504656,9,94.2446,2025,2025,WIPO_GII,official_value
CHN,Китай,56.5551447506996,10,93.5252,2025,2025,WIPO_GII,official_value
DEU,Германия,55.4553512524913,11,92.8058,2025,2025,WIPO_GII,official_value
JPN,Япония,53.5565691353389,12,92.0863,2025,2025,WIPO_GII,official_value
FRA,Франция,53.4156786988289,13,91.3669,2025,2025,WIPO_GII,official_value
ISR,Израиль,52.2499679129743,14,90.6475,2025,2025,WIPO_GII,official_value
HKG,Гонконг,51.4639547637293,15,89.9281,2025,2025,WIPO_GII,official_value
EST,Эстония,51.091978139021,16,89.2086,2025,2025,WIPO_GII,official_value
CAN,Канада,51.0643545243557,17,88.4892,2025,2025,WIPO_GII,official_value
IRL,Ирландия,50.3512250208889,18,87.7698,2025,2025,WIPO_GII,official_value
AUT,Австрия,50.0967566107785,19,87.0504,2025,2025,WIPO_GII,official_value
NOR,Норвегия,49.2378087475471,20,86.3309,2025,2025,WIPO_GII,official_value
BEL,Бельгия,48.463340688029,21,85.6115,2025,2025,WIPO_GII,official_value
AUS,Австралия,48.0058166127025,22,84.8921,2025,2025,WIPO_GII,official_value
LUX,Люксембург,47.2652289615258,23,84.1727,2025,2025,WIPO_GII,official_value
ISL,Исландия,47.0172011061986,24,83.4532,2025,2025,WIPO_GII,official_value
CYP,Кипр,45.4989362579263,25,82.7338,2025,2025,WIPO_GII,official_value
NZL,Новая Зеландия,45.4891781536966,26,82.0144,2025,2025,WIPO_GII,official_value
MLT,Мальта,45.3472846775166,27,81.295,2025,2025,WIPO_GII,official_value
ITA,Италия,44.9447399864804,28,80.5755,2025,2025,WIPO_GII,official_value
ESP,Испания,44.6070366016514,29,79.8561,2025,2025,WIPO_GII,official_value
ARE,ОАЭ,44.1544888281242,30,79.1367,2025,2025,WIPO_GII,official_value
PRT,Португалия,43.8576909479602,31,78.4173,2025,2025,WIPO_GII,official_value
CZE,Чехия,42.0357587785266,32,77.6978,2025,2025,WIPO_GII,official_value
LTU,Литва,40.7890541798699,33,76.9784,2025,2025,WIPO_GII,official_value
MYS,Малайзия,40.5814895487474,34,76.259,2025,2025,WIPO_GII,official_value
SVN,Словения,40.1045760929647,35,75.5396,2025,2025,WIPO_GII,official_value
HUN,Венгрия,39.9943737874299,36,74.8201,2025,2025,WIPO_GII,official_value
BGR,Болгария,39.0927629267023,37,74.1007,2025,2025,WIPO_GII,official_value
IND,Индия,38.1998133830439,38,73.3813,2025,2025,WIPO_GII,official_value
POL,Польша,37.7080354431444,39,72.6619,2025,2025,WIPO_GII,official_value
HRV,Хорватия,37.6794484448472,40,71.9424,2025,2025,WIPO_GII,official_value
LVA,Латвия,37.5271138784222,41,71.223,2025,2025,WIPO_GII,official_value
GRC,Греция,37.3467991812641,42,70.5036,2025,2025,WIPO_GII,official_value
TUR,Турция,37.2017171076035,43,69.7842,2025,2025,WIPO_GII,official_value
VNM,Вьетнам,37.0799641407315,44,69.0647,2025,2025,WIPO_GII,official_value
THA,Таиланд,36.6722982832117,45,68.3453,2025,2025,WIPO_GII,official_value
