iso3,country,score,rank,percentile,value_year,source_data_year,source_id,quality_flag
SGP,Сингапур,73.29,1,100.0,2025,2025,PORTULANS_GTCI,official_value
CHE,Швейцария,73.14,2,99.2593,2025,2025,PORTULANS_GTCI,official_value
DNK,Дания,72.05,3,98.5185,2025,2025,PORTULANS_GTCI,official_value
FIN,Финляндия,71.06,4,97.7778,2025,2025,PORTULANS_GTCI,official_value
SWE,Швеция,70.76,5,97.037,2025,2025,PORTULANS_GTCI,official_value
NLD,Нидерланды,70.26,6,96.2963,2025,2025,PORTULANS_GTCI,official_value
NOR,Норвегия,69.84,7,95.5556,2025,2025,PORTULANS_GTCI,official_value
LUX,Люксембург,69.84,8,94.8148,2025,2025,PORTULANS_GTCI,official_value
USA,США,69.41,9,94.0741,2025,2025,PORTULANS_GTCI,official_value
AUS,Австралия,69.27,10,93.3333,2025,2025,PORTULANS_GTCI,official_value
IRL,Ирландия,68.73,11,92.5926,2025,2025,PORTULANS_GTCI,official_value
GBR,Великобритания,67.52,12,91.8519,2025,2025,PORTULANS_GTCI,official_value
ISL,Исландия,66.63,13,91.1111,2025,2025,PORTULANS_GTCI,official_value
CAN,Канада,66.4,14,90.3704,2025,2025,PORTULANS_GTCI,official_value
BEL,Бельгия,66.05,15,89.6296,2025,2025,PORTULANS_GTCI,official_value
AUT,Австрия,65.86,16,88.8889,2025,2025,PORTULANS_GTCI,official_value
DEU,Германия,65.73,17,88.1481,2025,2025,PORTULANS_GTCI,official_value
NZL,Новая Зеландия,64.16,18,87.4074,2025,2025,PORTULANS_GTCI,official_value
FRA,Франция,62.88,19,86.6667,2025,2025,PORTULANS_GTCI,official_value
CZE,Чехия,62.52,20,85.9259,2025,2025,PORTULANS_GTCI,official_value
EST,Эстония,61.92,21,85.1852,2025,2025,PORTULANS_GTCI,official_value
MLT,Мальта,60.97,22,84.4444,2025,2025,PORTULANS_GTCI,official_value
ISR,Израиль,60.16,23,83.7037,2025,2025,PORTULANS_GTCI,official_value
PRT,Португалия,59.9,24,82.963,2025,2025,PORTULANS_GTCI,official_value
ARE,ОАЭ,59.36,25,82.2222,2025,2025,PORTULANS_GTCI,official_value
ESP,Испания,59.32,26,81.4815,2025,2025,PORTULANS_GTCI,official_value
LTU,Литва,58.76,27,80.7407,2025,2025,PORTULANS_GTCI,official_value
JPN,Япония,58.59,28,80.0,2025,2025,PORTULANS_GTCI,official_value
SVN,Словения,58.36,29,79.2593,2025,2025,PORTULANS_GTCI,official_value
CYP,Кипр,58.3,30,78.5185,2025,2025,PORTULANS_GTCI,official_value
KOR,Республика Корея,58.08,31,77.7778,2025,2025,PORTULANS_GTCI,official_value
ITA,Италия,57.35,32,77.037,2025,2025,PORTULANS_GTCI,official_value
LVA,Латвия,54.59,33,76.2963,2025,2025,PORTULANS_GTCI,official_value
SVK,Словакия,54.41,34,75.5556,2025,2025,PORTULANS_GTCI,official_value
QAT,Катар,53.87,35,74.8148,2025,2025,PORTULANS_GTCI,official_value
POL,Польша,53.7,36,74.0741,2025,2025,PORTULANS_GTCI,official_value
HUN,Венгрия,52.8,37,73.3333,2025,2025,PORTULANS_GTCI,official_value
BHR,Бахрейн,52.71,38,72.5926,2025,2025,PORTULANS_GTCI,official_value
CHL,Чили,52.66,39,71.8519,2025,2025,PORTULANS_GTCI,official_value
GRC,Греция,52.38,40,71.1111,2025,2025,PORTULANS_GTCI,official_value
HRV,Хорватия,52.23,41,70.3704,2025,2025,PORTULANS_GTCI,official_value
URY,Уругвай,52.06,42,69.6296,2025,2025,PORTULANS_GTCI,official_value
BRN,Бруней,51.48,43,68.8889,2025,2025,PORTULANS_GTCI,official_value
CRI,Коста-Рика,51.22,44,68.1481,2025,2025,PORTULANS_GTCI,official_value
GEO,Грузия,50.97,45,67.4074,2025,2025,PORTULANS_GTCI,official_value
MYS,Малайзия,50.2,46,66.6667,2025,2025,PORTULANS_GTCI,official_value
BGR,Болгария,50.09,47,65.9259,2025,2025,PORTULANS_GTCI,official_value
SAU,Саудовская Аравия,50.06,48,65.1852,2025,2025,PORTULANS_GTCI,official_value
MUS,Маврикий,49.7,49,64.4444,2025,2025,PORTULANS_GTCI,official_value
SYC,Сейшельские о-ва,49.64,50,63.7037,2025,2025,PORTULANS_GTCI,official_value
KWT,Кувейт,48.73,51,62.963,2025,2025,PORTULANS_GTCI,official_value
MNE,Черногория,48.73,52,62.2222,2025,2025,PORTULANS_GTCI,official_value
CHN,Китай,48.65,53,61.4815,2025,2025,PORTULANS_GTCI,official_value
SRB,Сербия,48.52,54,60.7407,2025,2025,PORTULANS_GTCI,official_value
ROU,Румыния,48.24,55,60.0,2025,2025,PORTULANS_GTCI,official_value
OMN,Оман,47.82,56,59.2593,2025,2025,PORTULANS_GTCI,official_value
BLR,Беларусь,47.76,57,58.5185,2025,2025,PORTULANS_GTCI,official_value
ARG,Аргентина,47.59,58,57.7778,2025,2025,PORTULANS_GTCI,official_value
ARM,Армения,46.95,59,57.037,2025,2025,PORTULANS_GTCI,official_value
AZE,Азербайджан,46.51,60,56.2963,2025,2025,PORTULANS_GTCI,official_value
UKR,Украина,46.31,61,55.5556,2025,2025,PORTULANS_GTCI,official_value
RUS,Россия,46.09,62,54.8148,2025,2025,PORTULANS_GTCI,official_value
