iso3,country,score,rank,percentile,value_year,source_data_year,source_id,quality_flag
JPN,Япония,284.0,1,100.0,2026,2026,WORLD_BANK_HCIPLUS,official_value
SGP,Сингапур,282.0,2,99.36708860759494,2026,2026,WORLD_BANK_HCIPLUS,official_value
AUS,Австралия,270.0,3,98.73417721518987,2026,2026,WORLD_BANK_HCIPLUS,official_value
NLD,Нидерланды,270.0,4,98.10126582278481,2026,2026,WORLD_BANK_HCIPLUS,official_value
IRL,Ирландия,269.0,5,97.46835443037975,2026,2026,WORLD_BANK_HCIPLUS,official_value
SWE,Швеция,269.0,6,96.83544303797468,2026,2026,WORLD_BANK_HCIPLUS,official_value
ISL,Исландия,267.0,7,96.20253164556962,2026,2026,WORLD_BANK_HCIPLUS,official_value
KOR,Республика Корея,267.0,8,95.56962025316456,2026,2026,WORLD_BANK_HCIPLUS,official_value
NOR,Норвегия,266.0,9,94.9367088607595,2026,2026,WORLD_BANK_HCIPLUS,official_value
CHE,Швейцария,265.0,10,94.30379746835443,2026,2026,WORLD_BANK_HCIPLUS,official_value
DNK,Дания,265.0,11,93.67088607594937,2026,2026,WORLD_BANK_HCIPLUS,official_value
ARE,ОАЭ,263.0,12,93.0379746835443,2026,2026,WORLD_BANK_HCIPLUS,official_value
NZL,Новая Зеландия,263.0,13,92.40506329113924,2026,2026,WORLD_BANK_HCIPLUS,official_value
EST,Эстония,261.0,14,91.77215189873418,2026,2026,WORLD_BANK_HCIPLUS,official_value
GBR,Великобритания,261.0,15,91.13924050632912,2026,2026,WORLD_BANK_HCIPLUS,official_value
POL,Польша,259.0,16,90.50632911392405,2026,2026,WORLD_BANK_HCIPLUS,official_value
LTU,Литва,258.0,17,89.87341772151899,2026,2026,WORLD_BANK_HCIPLUS,official_value
CAN,Канада,257.0,18,89.24050632911393,2026,2026,WORLD_BANK_HCIPLUS,official_value
CYP,Кипр,257.0,19,88.60759493670885,2026,2026,WORLD_BANK_HCIPLUS,official_value
DEU,Германия,256.0,20,87.9746835443038,2026,2026,WORLD_BANK_HCIPLUS,official_value
FIN,Финляндия,256.0,21,87.34177215189874,2026,2026,WORLD_BANK_HCIPLUS,official_value
MLT,Мальта,253.0,22,86.70886075949366,2026,2026,WORLD_BANK_HCIPLUS,official_value
AUT,Австрия,252.0,23,86.07594936708861,2026,2026,WORLD_BANK_HCIPLUS,official_value
LVA,Латвия,252.0,24,85.44303797468355,2026,2026,WORLD_BANK_HCIPLUS,official_value
SVN,Словения,252.0,25,84.81012658227847,2026,2026,WORLD_BANK_HCIPLUS,official_value
USA,США,252.0,26,84.17721518987342,2026,2026,WORLD_BANK_HCIPLUS,official_value
FRA,Франция,251.0,27,83.54430379746836,2026,2026,WORLD_BANK_HCIPLUS,official_value
BLR,Беларусь,250.0,28,82.91139240506328,2026,2026,WORLD_BANK_HCIPLUS,official_value
CZE,Чехия,250.0,29,82.27848101265823,2026,2026,WORLD_BANK_HCIPLUS,official_value
ISR,Израиль,249.0,30,81.64556962025317,2026,2026,WORLD_BANK_HCIPLUS,official_value
RUS,Россия,249.0,31,81.0126582278481,2026,2026,WORLD_BANK_HCIPLUS,official_value
PRT,Португалия,248.0,32,80.37974683544303,2026,2026,WORLD_BANK_HCIPLUS,official_value
BEL,Бельгия,246.0,33,79.74683544303798,2026,2026,WORLD_BANK_HCIPLUS,official_value
ESP,Испания,240.0,34,79.11392405063292,2026,2026,WORLD_BANK_HCIPLUS,official_value
HRV,Хорватия,239.0,35,78.48101265822784,2026,2026,WORLD_BANK_HCIPLUS,official_value
LUX,Люксембург,239.0,36,77.84810126582279,2026,2026,WORLD_BANK_HCIPLUS,official_value
HUN,Венгрия,235.0,37,77.21518987341773,2026,2026,WORLD_BANK_HCIPLUS,official_value
BHR,Бахрейн,234.0,38,76.58227848101265,2026,2026,WORLD_BANK_HCIPLUS,official_value
SVK,Словакия,232.0,39,75.9493670886076,2026,2026,WORLD_BANK_HCIPLUS,official_value
SRB,Сербия,230.0,40,75.31645569620254,2026,2026,WORLD_BANK_HCIPLUS,official_value
KAZ,Казахстан,229.0,41,74.68354430379746,2026,2026,WORLD_BANK_HCIPLUS,official_value
PLW,Палау,229.0,42,74.0506329113924,2026,2026,WORLD_BANK_HCIPLUS,official_value
QAT,Катар,229.0,43,73.41772151898735,2026,2026,WORLD_BANK_HCIPLUS,official_value
TUR,Турция,228.0,44,72.78481012658227,2026,2026,WORLD_BANK_HCIPLUS,official_value
SYC,Сейшельские о-ва,227.0,45,72.15189873417721,2026,2026,WORLD_BANK_HCIPLUS,official_value
CHL,Чили,226.0,46,71.51898734177216,2026,2026,WORLD_BANK_HCIPLUS,official_value
BGR,Болгария,225.0,47,70.88607594936708,2026,2026,WORLD_BANK_HCIPLUS,official_value
ARM,Армения,224.0,48,70.25316455696202,2026,2026,WORLD_BANK_HCIPLUS,official_value
ITA,Италия,224.0,49,69.62025316455697,2026,2026,WORLD_BANK_HCIPLUS,official_value
GRC,Греция,222.0,50,68.9873417721519,2026,2026,WORLD_BANK_HCIPLUS,official_value
MDA,Молдова,222.0,51,68.35443037974683,2026,2026,WORLD_BANK_HCIPLUS,official_value
MNE,Черногория,222.0,52,67.72151898734177,2026,2026,WORLD_BANK_HCIPLUS,official_value
CHN,Китай,220.0,53,67.08860759493672,2026,2026,WORLD_BANK_HCIPLUS,official_value
UKR,Украина,220.0,54,66.45569620253164,2026,2026,WORLD_BANK_HCIPLUS,official_value
VNM,Вьетнам,216.0,55,65.82278481012658,2026,2026,WORLD_BANK_HCIPLUS,official_value
GEO,Грузия,215.0,56,65.18987341772153,2026,2026,WORLD_BANK_HCIPLUS,official_value
SAU,Саудовская Аравия,210.0,57,64.55696202531645,2026,2026,WORLD_BANK_HCIPLUS,official_value
MNG,Монголия,209.0,58,63.92405063291139,2026,2026,WORLD_BANK_HCIPLUS,official_value
AZE,Азербайджан,208.0,59,63.29113924050633,2026,2026,WORLD_BANK_HCIPLUS,official_value
BRN,Бруней,208.0,60,62.65822784810127,2026,2026,WORLD_BANK_HCIPLUS,official_value
OMN,Оман,206.0,61,62.0253164556962,2026,2026,WORLD_BANK_HCIPLUS,official_value
PER,Перу,206.0,62,61.39240506329114,2026,2026,WORLD_BANK_HCIPLUS,official_value
URY,Уругвай,206.0,63,60.75949367088608,2026,2026,WORLD_BANK_HCIPLUS,official_value
ALB,Албания,203.0,64,60.12658227848101,2026,2026,WORLD_BANK_HCIPLUS,official_value
BRA,Бразилия,203.0,65,59.49367088607595,2026,2026,WORLD_BANK_HCIPLUS,official_value
MKD,Северная Македония,202.0,66,58.86075949367089,2026,2026,WORLD_BANK_HCIPLUS,official_value
THA,Таиланд,202.0,67,58.22784810126582,2026,2026,WORLD_BANK_HCIPLUS,official_value
LCA,Сент-Люсия,201.0,68,57.59493670886076,2026,2026,WORLD_BANK_HCIPLUS,official_value
MUS,Маврикий,201.0,69,56.9620253164557,2026,2026,WORLD_BANK_HCIPLUS,official_value
MYS,Малайзия,201.0,70,56.32911392405063,2026,2026,WORLD_BANK_HCIPLUS,official_value
ARG,Аргентина,200.0,71,55.69620253164557,2026,2026,WORLD_BANK_HCIPLUS,official_value
JAM,Ямайка,200.0,72,55.06329113924051,2026,2026,WORLD_BANK_HCIPLUS,official_value
ROU,Румыния,199.0,73,54.43037974683544,2026,2026,WORLD_BANK_HCIPLUS,official_value
COL,Колумбия,198.0,74,53.79746835443038,2026,2026,WORLD_BANK_HCIPLUS,official_value
KGZ,Киргизия,198.0,75,53.16455696202531,2026,2026,WORLD_BANK_HCIPLUS,official_value
KWT,Кувейт,195.0,76,52.53164556962025,2026,2026,WORLD_BANK_HCIPLUS,official_value
FJI,Фиджи,193.0,77,51.89873417721519,2026,2026,WORLD_BANK_HCIPLUS,official_value
MEX,Мексика,193.0,78,51.26582278481012,2026,2026,WORLD_BANK_HCIPLUS,official_value
BIH,Босния и Герцеговина,192.0,79,50.63291139240506,2026,2026,WORLD_BANK_HCIPLUS,official_value
CRI,Коста-Рика,192.0,80,50.0,2026,2026,WORLD_BANK_HCIPLUS,official_value
TTO,Тринидад и Тобаго,190.0,81,49.36708860759494,2026,2026,WORLD_BANK_HCIPLUS,official_value
ECU,Эквадор,184.0,82,48.734177215189874,2026,2026,WORLD_BANK_HCIPLUS,official_value
GRD,Гренада,183.0,83,48.10126582278481,2026,2026,WORLD_BANK_HCIPLUS,official_value
PRY,Парагвай,181.0,84,47.46835443037975,2026,2026,WORLD_BANK_HCIPLUS,official_value
IRN,Иран,180.0,85,46.835443037974684,2026,2026,WORLD_BANK_HCIPLUS,official_value
NIC,Никарагуа,178.0,86,46.20253164556962,2026,2026,WORLD_BANK_HCIPLUS,official_value
TON,Тонга,176.0,87,45.56962025316456,2026,2026,WORLD_BANK_HCIPLUS,official_value
IDN,Индонезия,175.0,88,44.936708860759495,2026,2026,WORLD_BANK_HCIPLUS,official_value
PHL,Филиппины,175.0,89,44.303797468354425,2026,2026,WORLD_BANK_HCIPLUS,official_value
DOM,Доминиканская Республика,174.0,90,43.67088607594937,2026,2026,WORLD_BANK_HCIPLUS,official_value
PAN,Панама,174.0,91,43.037974683544306,2026,2026,WORLD_BANK_HCIPLUS,official_value
TKM,Туркменистан,174.0,92,42.405063291139236,2026,2026,WORLD_BANK_HCIPLUS,official_value
