iso3,country,score,rank,percentile,value_year,source_data_year,source_id,quality_flag
ISL,Исландия,97.2,1,100.0,2023,2023,UNDP_HDR,official_value
NOR,Норвегия,97.0,2,99.4819,2023,2023,UNDP_HDR,official_value
CHE,Швейцария,97.0,3,98.9637,2023,2023,UNDP_HDR,official_value
DNK,Дания,96.2,4,98.4456,2023,2023,UNDP_HDR,official_value
DEU,Германия,95.89999999999999,5,97.9275,2023,2023,UNDP_HDR,official_value
SWE,Швеция,95.89999999999999,6,97.4093,2023,2023,UNDP_HDR,official_value
AUS,Австралия,95.8,7,96.8912,2023,2023,UNDP_HDR,official_value
HKG,Гонконг,95.5,8,96.3731,2023,2023,UNDP_HDR,official_value
NLD,Нидерланды,95.5,9,95.8549,2023,2023,UNDP_HDR,official_value
BEL,Бельгия,95.1,10,95.3368,2023,2023,UNDP_HDR,official_value
IRL,Ирландия,94.89999999999999,11,94.8187,2023,2023,UNDP_HDR,official_value
FIN,Финляндия,94.8,12,94.3005,2023,2023,UNDP_HDR,official_value
SGP,Сингапур,94.6,13,93.7824,2023,2023,UNDP_HDR,official_value
GBR,Великобритания,94.6,14,93.2642,2023,2023,UNDP_HDR,official_value
ARE,ОАЭ,94.0,15,92.7461,2023,2023,UNDP_HDR,official_value
CAN,Канада,93.89999999999999,16,92.228,2023,2023,UNDP_HDR,official_value
LIE,Лихтенштейн,93.8,17,91.7098,2023,2023,UNDP_HDR,official_value
NZL,Новая Зеландия,93.8,18,91.1917,2023,2023,UNDP_HDR,official_value
USA,США,93.8,19,90.6736,2023,2023,UNDP_HDR,official_value
KOR,Республика Корея,93.7,20,90.1554,2023,2023,UNDP_HDR,official_value
SVN,Словения,93.10000000000001,21,89.6373,2023,2023,UNDP_HDR,official_value
AUT,Австрия,93.0,22,89.1192,2023,2023,UNDP_HDR,official_value
JPN,Япония,92.5,23,88.601,2023,2023,UNDP_HDR,official_value
MLT,Мальта,92.4,24,88.0829,2023,2023,UNDP_HDR,official_value
LUX,Люксембург,92.2,25,87.5648,2023,2023,UNDP_HDR,official_value
FRA,Франция,92.0,26,87.0466,2023,2023,UNDP_HDR,official_value
ISR,Израиль,91.9,27,86.5285,2023,2023,UNDP_HDR,official_value
ESP,Испания,91.8,28,86.0104,2023,2023,UNDP_HDR,official_value
CZE,Чехия,91.5,29,85.4922,2023,2023,UNDP_HDR,official_value
ITA,Италия,91.5,30,84.9741,2023,2023,UNDP_HDR,official_value
SMR,Сан-Марино,91.5,31,84.456,2023,2023,UNDP_HDR,official_value
AND,Андорра,91.3,32,83.9378,2023,2023,UNDP_HDR,official_value
CYP,Кипр,91.3,33,83.4197,2023,2023,UNDP_HDR,official_value
GRC,Греция,90.8,34,82.9016,2023,2023,UNDP_HDR,official_value
POL,Польша,90.60000000000001,35,82.3834,2023,2023,UNDP_HDR,official_value
EST,Эстония,90.5,36,81.8653,2023,2023,UNDP_HDR,official_value
SAU,Саудовская Аравия,90.0,37,81.3472,2023,2023,UNDP_HDR,official_value
BHR,Бахрейн,89.9,38,80.829,2023,2023,UNDP_HDR,official_value
LTU,Литва,89.5,39,80.3109,2023,2023,UNDP_HDR,official_value
PRT,Португалия,89.0,40,79.7927,2023,2023,UNDP_HDR,official_value
HRV,Хорватия,88.9,41,79.2746,2023,2023,UNDP_HDR,official_value
LVA,Латвия,88.9,42,78.7565,2023,2023,UNDP_HDR,official_value
QAT,Катар,88.6,43,78.2383,2023,2023,UNDP_HDR,official_value
SVK,Словакия,88.0,44,77.7202,2023,2023,UNDP_HDR,official_value
CHL,Чили,87.8,45,77.2021,2023,2023,UNDP_HDR,official_value
HUN,Венгрия,87.0,46,76.6839,2023,2023,UNDP_HDR,official_value
ARG,Аргентина,86.5,47,76.1658,2023,2023,UNDP_HDR,official_value
MNE,Черногория,86.2,48,75.6477,2023,2023,UNDP_HDR,official_value
URY,Уругвай,86.2,49,75.1295,2023,2023,UNDP_HDR,official_value
OMN,Оман,85.8,50,74.6114,2023,2023,UNDP_HDR,official_value
TUR,Турция,85.3,51,74.0933,2023,2023,UNDP_HDR,official_value
KWT,Кувейт,85.2,52,73.5751,2023,2023,UNDP_HDR,official_value
ATG,Антигуа и Барбуда,85.1,53,73.057,2023,2023,UNDP_HDR,official_value
SYC,Сейшельские о-ва,84.8,54,72.5389,2023,2023,UNDP_HDR,official_value
BGR,Болгария,84.5,55,72.0207,2023,2023,UNDP_HDR,official_value
ROU,Румыния,84.5,56,71.5026,2023,2023,UNDP_HDR,official_value
GEO,Грузия,84.39999999999999,57,70.9845,2023,2023,UNDP_HDR,official_value
KNA,Сент-Китс и Невис,84.0,58,70.4663,2023,2023,UNDP_HDR,official_value
PAN,Панама,83.89999999999999,59,69.9482,2023,2023,UNDP_HDR,official_value
BRN,Бруней,83.7,60,69.4301,2023,2023,UNDP_HDR,official_value
KAZ,Казахстан,83.7,61,68.9119,2023,2023,UNDP_HDR,official_value
CRI,Коста-Рика,83.3,62,68.3938,2023,2023,UNDP_HDR,official_value
SRB,Сербия,83.3,63,67.8756,2023,2023,UNDP_HDR,official_value
RUS,Россия,83.2,64,67.3575,2023,2023,UNDP_HDR,official_value
BLR,Беларусь,82.39999999999999,65,66.8394,2023,2023,UNDP_HDR,official_value
BHS,Багамы,82.0,66,66.3212,2023,2023,UNDP_HDR,official_value
MYS,Малайзия,81.89999999999999,67,65.8031,2023,2023,UNDP_HDR,official_value
MKD,Северная Македония,81.5,68,65.285,2023,2023,UNDP_HDR,official_value
ARM,Армения,81.10000000000001,69,64.7668,2023,2023,UNDP_HDR,official_value
BRB,Барбадос,81.10000000000001,70,64.2487,2023,2023,UNDP_HDR,official_value
ALB,Албания,81.0,71,63.7306,2023,2023,UNDP_HDR,official_value
TTO,Тринидад и Тобаго,80.7,72,63.2124,2023,2023,UNDP_HDR,official_value
MUS,Маврикий,80.60000000000001,73,62.6943,2023,2023,UNDP_HDR,official_value
BIH,Босния и Герцеговина,80.4,74,62.1762,2023,2023,UNDP_HDR,official_value
IRN,Иран,79.9,75,61.658,2023,2023,UNDP_HDR,official_value
VCT,Сент-Винсент и Гренадины,79.80000000000001,76,61.1399,2023,2023,UNDP_HDR,official_value
THA,Таиланд,79.80000000000001,77,60.6218,2023,2023,UNDP_HDR,official_value
CHN,Китай,79.7,78,60.1036,2023,2023,UNDP_HDR,official_value
PER,Перу,79.4,79,59.5855,2023,2023,UNDP_HDR,official_value
GRD,Гренада,79.10000000000001,80,59.0674,2023,2023,UNDP_HDR,official_value
AZE,Азербайджан,78.9,81,58.5492,2023,2023,UNDP_HDR,official_value
MEX,Мексика,78.9,82,58.0311,2023,2023,UNDP_HDR,official_value
