iso3,country,score,rank,percentile,value_year,source_data_year,source_id,quality_flag
SAU,Саудовская Аравия,99.2,1,100.0,2025,2023,ITU_IDI,official_value
FIN,Финляндия,98.7,2,99.3902,2025,2023,ITU_IDI,official_value
EST,Эстония,98.5,3,98.7805,2025,2023,ITU_IDI,official_value
KWT,Кувейт,98.4,4,98.1707,2025,2023,ITU_IDI,official_value
QAT,Катар,98.4,5,97.561,2025,2023,ITU_IDI,official_value
ARE,ОАЭ,98.3,6,96.9512,2025,2023,ITU_IDI,official_value
DNK,Дания,97.9,7,96.3415,2025,2023,ITU_IDI,official_value
SGP,Сингапур,97.7,8,95.7317,2025,2023,ITU_IDI,official_value
HKG,Гонконг,97.6,9,95.122,2025,2023,ITU_IDI,official_value
BHR,Бахрейн,97.5,10,94.5122,2025,2023,ITU_IDI,official_value
USA,США,97.4,11,93.9024,2025,2023,ITU_IDI,official_value
ISL,Исландия,95.9,12,93.2927,2025,2023,ITU_IDI,official_value
AUS,Австралия,95.8,13,92.6829,2025,2023,ITU_IDI,official_value
SWE,Швеция,95.7,14,92.0732,2025,2023,ITU_IDI,official_value
POL,Польша,95.6,15,91.4634,2025,2023,ITU_IDI,official_value
AUT,Австрия,95.5,16,90.8537,2025,2023,ITU_IDI,official_value
GBR,Великобритания,95.4,17,90.2439,2025,2023,ITU_IDI,official_value
LTU,Литва,95.3,18,89.6341,2025,2023,ITU_IDI,official_value
MYS,Малайзия,95.3,19,89.0244,2025,2023,ITU_IDI,official_value
MAC,Макао (САР),95.2,20,88.4146,2025,2023,ITU_IDI,official_value
KOR,Республика Корея,95.1,21,87.8049,2025,2023,ITU_IDI,official_value
LVA,Латвия,95.1,22,87.1951,2025,2023,ITU_IDI,official_value
MLT,Мальта,95.0,23,86.5854,2025,2023,ITU_IDI,official_value
NOR,Норвегия,93.7,24,85.9756,2025,2023,ITU_IDI,official_value
BRN,Бруней,93.6,25,85.3659,2025,2023,ITU_IDI,official_value
JPN,Япония,93.6,26,84.7561,2025,2023,ITU_IDI,official_value
NLD,Нидерланды,93.5,27,84.1463,2025,2023,ITU_IDI,official_value
CHL,Чили,93.4,28,83.5366,2025,2023,ITU_IDI,official_value
ISR,Израиль,93.4,29,82.9268,2025,2023,ITU_IDI,official_value
