iso3,country,score,rank,percentile,value_year,source_data_year,source_id,quality_flag
USA,США,90.5615696887686,1,100.0,2026,2026,QS_ET,recomputed_from_official_components
GBR,Великобритания,68.95575501046713,2,98.2143,2026,2026,QS_ET,recomputed_from_official_components
CHN,Китай,63.77918228475301,3,96.4286,2026,2026,QS_ET,recomputed_from_official_components
AUS,Австралия,54.44006079849404,4,94.6429,2026,2026,QS_ET,recomputed_from_official_components
SGP,Сингапур,51.36572468441057,5,92.8571,2026,2026,QS_ET,recomputed_from_official_components
IND,Индия,51.174518946197644,6,91.0714,2026,2026,QS_ET,recomputed_from_official_components
CHE,Швейцария,51.04190985641614,7,89.2857,2026,2026,QS_ET,recomputed_from_official_components
CAN,Канада,48.89882895379334,8,87.5,2026,2026,QS_ET,recomputed_from_official_components
DEU,Германия,48.24218755493598,9,85.7143,2026,2026,QS_ET,recomputed_from_official_components
JPN,Япония,46.9776738534117,10,83.9286,2026,2026,QS_ET,recomputed_from_official_components
HKG,Гонконг,46.8948776744304,11,82.1429,2026,2026,QS_ET,recomputed_from_official_components
KOR,Республика Корея,45.501366867830384,12,80.3571,2026,2026,QS_ET,recomputed_from_official_components
ITA,Италия,44.685179429870445,13,78.5714,2026,2026,QS_ET,recomputed_from_official_components
MEX,Мексика,44.60918107093214,14,76.7857,2026,2026,QS_ET,recomputed_from_official_components
FRA,Франция,43.34863497042096,15,75.0,2026,2026,QS_ET,recomputed_from_official_components
SAU,Саудовская Аравия,42.684072048711414,16,73.2143,2026,2026,QS_ET,recomputed_from_official_components
NLD,Нидерланды,40.90392605787968,17,71.4286,2026,2026,QS_ET,recomputed_from_official_components
MYS,Малайзия,40.33487904881095,18,69.6429,2026,2026,QS_ET,recomputed_from_official_components
TWN,Тайвань,38.408924754781154,19,67.8571,2026,2026,QS_ET,recomputed_from_official_components
SWE,Швеция,36.72963820565571,20,66.0714,2026,2026,QS_ET,recomputed_from_official_components
ESP,Испания,35.93004354895579,21,64.2857,2026,2026,QS_ET,recomputed_from_official_components
TUR,Турция,33.33854103521556,22,62.5,2026,2026,QS_ET,recomputed_from_official_components
DNK,Дания,33.10124125820549,23,60.7143,2026,2026,QS_ET,recomputed_from_official_components
BRA,Бразилия,32.43581613698885,24,58.9286,2026,2026,QS_ET,recomputed_from_official_components
NZL,Новая Зеландия,31.898742479664904,25,57.1429,2026,2026,QS_ET,recomputed_from_official_components
BEL,Бельгия,31.174914603113713,26,55.3571,2026,2026,QS_ET,recomputed_from_official_components
PAK,Пакистан,30.112538231159768,27,53.5714,2026,2026,QS_ET,recomputed_from_official_components
ARE,ОАЭ,29.999327395140405,28,51.7857,2026,2026,QS_ET,recomputed_from_official_components
CHL,Чили,28.976340979784034,29,50.0,2026,2026,QS_ET,recomputed_from_official_components
NOR,Норвегия,28.82608937405999,30,48.2143,2026,2026,QS_ET,recomputed_from_official_components
GRC,Греция,28.22081732350192,31,46.4286,2026,2026,QS_ET,recomputed_from_official_components
RUS,Россия,27.19218583293042,32,44.6429,2026,2026,QS_ET,recomputed_from_official_components
ARG,Аргентина,26.069650450975335,33,42.8571,2026,2026,QS_ET,recomputed_from_official_components
EGY,Египет,25.892159342392727,34,41.0714,2026,2026,QS_ET,recomputed_from_official_components
AUT,Австрия,25.46323809597781,35,39.2857,2026,2026,QS_ET,recomputed_from_official_components
THA,Таиланд,24.456548091157924,36,37.5,2026,2026,QS_ET,recomputed_from_official_components
CZE,Чехия,23.730750319834534,37,35.7143,2026,2026,QS_ET,recomputed_from_official_components
QAT,Катар,23.24737991385639,38,33.9286,2026,2026,QS_ET,recomputed_from_official_components
FIN,Финляндия,22.300511050235276,39,32.1429,2026,2026,QS_ET,recomputed_from_official_components
COL,Колумбия,22.295115504567324,40,30.3571,2026,2026,QS_ET,recomputed_from_official_components
JOR,Иордания,21.618372127766857,41,28.5714,2026,2026,QS_ET,recomputed_from_official_components
PRT,Португалия,21.35475812288599,42,26.7857,2026,2026,QS_ET,recomputed_from_official_components
IDN,Индонезия,20.827359270011325,43,25.0,2026,2026,QS_ET,recomputed_from_official_components
IRL,Ирландия,19.090414118136174,44,23.2143,2026,2026,QS_ET,recomputed_from_official_components
HUN,Венгрия,18.810097395428755,45,21.4286,2026,2026,QS_ET,recomputed_from_official_components
IRN,Иран,16.196613004553484,46,19.6429,2026,2026,QS_ET,recomputed_from_official_components
POL,Польша,16.035789504983484,47,17.8571,2026,2026,QS_ET,recomputed_from_official_components
OMN,Оман,15.853334665268891,48,16.0714,2026,2026,QS_ET,recomputed_from_official_components
ISR,Израиль,14.241110428866845,49,14.2857,2026,2026,QS_ET,recomputed_from_official_components
LBN,Ливан,11.373415094147187,50,12.5,2026,2026,QS_ET,recomputed_from_official_components
BGD,Бангладеш,10.626669877654852,51,10.7143,2026,2026,QS_ET,recomputed_from_official_components
ECU,Эквадор,8.731252005701297,52,8.9286,2026,2026,QS_ET,recomputed_from_official_components
ZAF,ЮАР,5.41494877450859,53,7.1429,2026,2026,QS_ET,recomputed_from_official_components
KAZ,Казахстан,4.700691414696184,54,5.3571,2026,2026,QS_ET,recomputed_from_official_components
VNM,Вьетнам,4.635048658258743,55,3.5714,2026,2026,QS_ET,recomputed_from_official_components
ROU,Румыния,0.0,56,1.7857,2026,2026,QS_ET,recomputed_from_official_components
