data_year,edition_year,source_order,iso3,country_name,source_country_name,rank,tied_rank,score,military_expenditure_index,military_personnel_index,heavy_weapons_index,trend_reference_year,score_change_2y,score_change_2y_pct,quality_flag,source_dataset_version,source_variables,row_sha256
2022,2023,1,UKR,Ukraine,Ukraine,1,0,335.0,5.11,1.29,1.75,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,ab5cf860630f7ced0ee9f51e973d9717c7e0719adebb40e10d902016d8a05312
2022,2023,2,ISR,Israel,Israel,2,0,257.0,2.15,1.77,3.06,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,c77f3eac55ee18740f92414006b52e0dd4293f70f445c033a26c185c2a673738
2022,2023,3,ARM,Armenia,Armenia,3,0,223.0,2.0,1.79,2.28,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,5321d673ca622c316c44e21031f53508ae7d241f29cb788f818870c86c171bb3
2022,2023,4,QAT,Qatar,Qatar,4,0,220.0,2.99,0.77,2.23,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,565ef68719f1181a9d245fed1d48174e5ecade5ba108dc5a5fa0b5fa486edb18
2022,2023,5,BHR,Bahrain,Bahrain,5,0,215.0,1.92,0.65,2.68,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,9d9db04b9b555c684b67be49f183d443893b47660d60e97a561bcf7a6d896656
2022,2023,6,SAU,Saudi Arabia,Saudi Arabia,6,0,213.0,2.94,0.74,2.11,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,228a371d97023aa71efc824b79c2d6aba67f4f3c019114c1810e94171764abf5
2022,2023,7,GRC,Greece,Greece,7,0,211.0,1.89,1.13,2.71,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,37d1bf52c2bf9790abc9323affb9441bb757eff2497b2604b73a1bab3eb0e186
2022,2023,8,SGP,Singapore,Singapore,8,0,210.0,1.7,1.27,2.72,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,d353b9daf0f8b7f255e1bf9d09e6b85d62e9145c978ce96e2803b8129137f22d
2022,2023,9,AZE,Azerbaijan,Azerbaijan,9,0,204.0,2.37,0.93,2.26,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,84519b8e8059d9cabfea408858890dad8f60a854db2c492ef27b6d35b5a6e619
2022,2023,10,RUS,Russia,Russia,10,0,204.0,2.05,1.06,2.45,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,488a8addf4bed1b245864f21efa2cd059f821ea75fd5e1ceaa3777a9e40e040c
2022,2023,11,LBN,Lebanon,Lebanon,11,0,204.0,1.84,1.2,2.51,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,e77795b75f15c5d4ff09ed2c3c556d1f3ed3cd6df3aa2f909ecabe9fd4f7a8bb
2022,2023,12,KWT,Kuwait,Kuwait,12,0,204.0,2.24,0.65,2.64,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,e6927a24a8159256d849b02bed12293a96faebea13757396b055f768cc3f027a
2022,2023,13,OMN,Oman,Oman,13,0,203.0,2.47,0.99,2.05,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,db70fa3b8ae2eaf3409a68c66c7f4f778da19fc1a8d7ebfe1e135b529c67d686
2022,2023,14,JOR,Jordan,Jordan,14,0,200.0,2.26,0.99,2.18,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,d67524eafd580ed03264237c64d707907c243075b33e92c16cdf236e723fa7bd
2022,2023,15,KOR,South Korea,"Korea, Republic of",15,0,192.0,1.61,1.43,2.19,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,b0c9e2dfee0c9a780231e3165da7e57b938573858e59cdabb49c5fad92e6550c
2022,2023,16,BRN,Brunei,Brunei,16,0,190.0,1.84,1.47,1.86,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,385b5e9c3181ddcf04bbe26caab7e6fa4d484af4e9e1507d26e391997cceecbc
2022,2023,17,CYP,Cyprus,Cyprus,17,0,182.0,1.25,1.05,2.66,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,3fb92dc22d089e92d450d0080e2d8b8e2378fb7131d4ea1a502d5302fb8d0ae8
2022,2023,18,DZA,Algeria,Algeria,18,0,178.0,2.31,0.83,1.7,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,c660554c870284a061e946cac4d37355d2fa968da5c5d0c0680e19eb4bc99812
2022,2023,19,BLR,Belarus,Belarus,19,0,174.0,0.97,1.49,2.27,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,6d690126092910e6fb855caf33504554a42ad9c5ff5cc24bc7548b3c126d17b7
2022,2023,20,MAR,Morocco,Morocco,20,0,168.0,2.08,0.97,1.52,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,17fd2b113a8192205beff0490adb76dbecfa447d2599bea058652b8554e29cdf
2022,2023,21,LTU,Lithuania,Lithuania,21,0,162.0,1.55,1.01,1.84,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,0a0f2ad647f45d3c221fa315a851e2a80a37389e6f072e4a04f4872ad79b5492
2022,2023,22,BWA,Botswana,Botswana,22,0,160.0,1.69,0.81,1.87,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,b1d142dae3ec22c06e1e62117b6896bbed21bab3337674e38b7aaf57379fa94a
2022,2023,23,KHM,Cambodia,Cambodia,23,0,160.0,1.39,1.62,1.34,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,ebd5fbdb44cc6b6bd722f42c305b034a31423ad1348a6debba3973f4322ab18c
2022,2023,24,TGO,Togo,Togo,24,0,156.0,2.49,1.02,0.75,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,32438023f1872e67d9880c254307353c3d106c2caaef9e9db92e19a5b33c8ab4
2022,2023,25,USA,United States,United States,25,0,154.0,1.7,0.42,2.07,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,603e958925629c3750ba91aa1a454d6365bf0c4c9e080e15993acbd7e3a13a46
2022,2023,26,FIN,Finland,Finland,26,0,152.0,1.19,0.68,2.28,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,0a56801bbefdfe7a3fc09fe662103c99dd4f18b64b71c8dfaf6cd160726efa24
2022,2023,27,SRB,Serbia,Serbia,27,0,149.0,1.44,0.29,1.92,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,80c315593a4d208002fc62365bc0cd0bd9f9ec99f93f5272fb754143abb40847
2022,2023,28,IRN,Iran,Iran,28,0,147.0,1.67,0.87,1.49,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,6ecef07089f664bb96aeb1614cbcd27223c8d30a16a581827ddf55dee0ff7cf9
2022,2023,29,EST,Estonia,Estonia,29,0,144.0,1.39,0.59,1.94,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,848895add81b57ee743c87dbc50ecd2e9157ec4bacc4a2073fa48885f3952c77
2022,2023,30,MNG,Mongolia,Mongolia,30,0,143.0,0.59,0.78,2.53,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,36e896490f32234905f4a5d1b4263304a0ff4a4b9f21f147b45b39ab1c1e5180
2022,2023,31,TCD,Chad,Chad,31,0,141.0,1.79,1.13,0.92,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,f76d938cd3a3bd4314bf294bba1aa87051d02ee77a36e75c67f8697fb4f5f51a
2022,2023,32,NAM,Namibia,Namibia,32,0,139.0,1.69,0.96,1.14,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,c59fb8be7fa034d44cb7fd8c145e0446067715336aa5c1c0750f699ba73b7ff7
2022,2023,33,MRT,Mauritania,Mauritania,33,0,139.0,1.67,1.08,1.04,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,4ac56f5de33d84009fcc1ee1802d96ff1de10a5b0ea6556b6d543edc2fd2722d
