edition_year,reference_year,source_order,continent,region,iso3,country_name,criminality,criminality_rank,criminality_tied_rank,criminal_markets,criminal_markets_rank,criminal_markets_tied_rank,criminal_actors,criminal_actors_rank,criminal_actors_tied_rank,resilience,resilience_rank,resilience_tied_rank,human_trafficking,human_trafficking_rank,human_trafficking_tied_rank,human_smuggling,human_smuggling_rank,human_smuggling_tied_rank,extortion_protection_racketeering,extortion_protection_racketeering_rank,extortion_protection_racketeering_tied_rank,arms_trafficking,arms_trafficking_rank,arms_trafficking_tied_rank,counterfeit_goods,counterfeit_goods_rank,counterfeit_goods_tied_rank,illicit_excisable_goods,illicit_excisable_goods_rank,illicit_excisable_goods_tied_rank,flora_crimes,flora_crimes_rank,flora_crimes_tied_rank,fauna_crimes,fauna_crimes_rank,fauna_crimes_tied_rank,non_renewable_resource_crimes,non_renewable_resource_crimes_rank,non_renewable_resource_crimes_tied_rank,heroin_trade,heroin_trade_rank,heroin_trade_tied_rank,cocaine_trade,cocaine_trade_rank,cocaine_trade_tied_rank,cannabis_trade,cannabis_trade_rank,cannabis_trade_tied_rank,synthetic_drug_trade,synthetic_drug_trade_rank,synthetic_drug_trade_tied_rank,cyber_dependent_crimes,cyber_dependent_crimes_rank,cyber_dependent_crimes_tied_rank,financial_crimes,financial_crimes_rank,financial_crimes_tied_rank,mafia_style_groups,mafia_style_groups_rank,mafia_style_groups_tied_rank,criminal_networks,criminal_networks_rank,criminal_networks_tied_rank,state_embedded_actors,state_embedded_actors_rank,state_embedded_actors_tied_rank,foreign_actors,foreign_actors_rank,foreign_actors_tied_rank,private_sector_actors,private_sector_actors_rank,private_sector_actors_tied_rank,political_leadership_governance,political_leadership_governance_rank,political_leadership_governance_tied_rank,government_transparency_accountability,government_transparency_accountability_rank,government_transparency_accountability_tied_rank,international_cooperation,international_cooperation_rank,international_cooperation_tied_rank,national_policies_laws,national_policies_laws_rank,national_policies_laws_tied_rank,judicial_system_detention,judicial_system_detention_rank,judicial_system_detention_tied_rank,law_enforcement,law_enforcement_rank,law_enforcement_tied_rank,territorial_integrity,territorial_integrity_rank,territorial_integrity_tied_rank,anti_money_laundering,anti_money_laundering_rank,anti_money_laundering_tied_rank,economic_regulatory_capacity,economic_regulatory_capacity_rank,economic_regulatory_capacity_tied_rank,victim_witness_support,victim_witness_support_rank,victim_witness_support_tied_rank,prevention,prevention_rank,prevention_tied_rank,non_state_actors,non_state_actors_rank,non_state_actors_tied_rank,quality_flag,source_row_sha256
2025,2024,1,Africa,Central Africa,AGO,Angola,5.62,71,0,5.33,74,1,5.9,65,1,4.21,124,0,6.0,85,1,5.0,111,1,2.5,120,1,6.0,66,1,5.0,100,1,6.0,36,1,7.5,15,1,6.0,52,1,8.0,21,1,2.5,118,1,7.0,39,1,4.5,114,1,2.5,164,1,5.5,60,1,6.0,107,1,2.5,123,1,6.0,74,1,8.0,39,1,5.5,96,1,7.5,11,1,4.0,114,1,4.5,75,1,5.0,130,1,5.0,116,1,3.0,127,1,4.0,122,1,5.5,65,1,4.5,98,1,4.5,87,1,3.5,116,1,4.0,108,1,3.0,138,1,official_open_data_snapshot_derived_ranks,21147406ff1482bbd870358753bd4f0b93bfbececdec1d2fc9d3a019e4bc6421
2025,2024,2,Africa,Central Africa,BDI,Burundi,4.73,118,1,4.67,114,1,4.8,118,1,2.33,174,1,8.5,6,1,5.5,88,1,5.5,48,1,7.5,37,1,6.5,43,1,6.0,36,1,2.0,132,1,4.0,116,1,4.0,101,1,3.5,91,1,2.5,151,1,3.5,159,1,2.0,169,1,1.5,179,1,7.5,37,1,1.0,146,1,4.0,158,1,8.5,24,1,4.5,141,1,6.0,50,1,3.0,148,1,1.5,178,1,2.5,184,1,3.0,170,1,2.0,168,1,1.5,186,1,3.0,156,1,2.5,170,1,2.0,174,1,1.5,178,1,3.0,149,1,2.5,157,1,official_open_data_snapshot_derived_ranks,6f43a13a67724a6d3d0bc3c8bea8353606e8df044b284ccce5912ae16a39b6fe
2025,2024,3,Africa,Central Africa,CMR,Cameroon,6.18,47,1,6.27,38,1,6.1,55,1,3.13,162,0,6.5,71,1,5.5,88,1,7.0,22,1,7.5,37,1,7.5,10,1,5.5,66,1,7.5,15,1,7.5,15,1,7.0,43,1,3.5,91,1,3.5,126,1,7.0,13,1,7.0,37,1,5.0,79,1,6.5,80,1,3.5,98,1,7.5,21,1,8.5,24,1,7.5,17,1,3.5,146,1,2.0,170,1,2.0,160,1,5.5,105,1,4.5,132,1,2.5,157,1,3.5,141,1,2.0,177,1,3.5,143,1,2.5,164,1,2.5,152,1,3.0,149,1,4.0,105,1,official_open_data_snapshot_derived_ranks,3108ba365443a93f16a53639a99108b1dbf290767d822f2ff02692687aed1764
2025,2024,4,Africa,Central Africa,CAF,Central African Republic,7.03,16,0,5.97,48,0,8.1,5,1,2.08,181,1,8.0,17,1,5.5,88,1,7.0,22,1,9.0,6,1,7.0,22,1,5.0,81,1,7.0,26,1,8.0,8,1,10.0,1,0,1.5,153,1,2.0,164,1,4.0,145,1,7.0,37,1,3.0,134,1,5.5,131,1,8.0,12,1,8.0,7,1,9.0,7,1,9.0,1,1,6.5,36,1,1.5,184,1,2.0,160,1,3.5,168,1,2.5,180,1,1.5,183,1,2.0,174,1,2.0,177,1,2.0,179,1,1.5,184,1,2.0,161,1,2.0,171,1,2.5,157,1,official_open_data_snapshot_derived_ranks,b11cb81c45a4274d7796f162e30d02182399f08cfaba1a376bdff31ef7b180bb
2025,2024,5,Africa,Central Africa,TCD,Chad,6.0,52,0,5.4,69,1,6.6,38,1,2.33,174,1,7.5,38,1,8.0,12,1,6.5,28,1,9.0,6,1,6.0,55,1,4.5,100,1,1.5,154,1,3.5,138,1,7.5,33,1,2.0,140,1,4.5,101,1,6.0,51,1,7.5,24,1,2.5,150,1,4.5,160,1,5.0,63,1,7.0,34,1,8.5,24,1,6.5,49,1,6.0,50,1,2.5,162,1,2.0,160,1,4.5,150,1,3.0,170,1,2.0,168,1,2.5,168,1,3.0,156,1,1.5,187,1,2.0,174,1,1.5,178,1,1.5,183,1,2.0,170,1,official_open_data_snapshot_derived_ranks,074a518b4bc5a5decbea8ec1a76bf181c63db043f72b1f34fc9df45737cd87f7
2025,2024,6,Africa,Central Africa,COD,Democratic Republic of the Congo,7.47,6,0,6.33,35,1,8.6,1,0,2.21,177,1,7.5,38,1,6.0,72,1,7.5,16,1,9.5,1,1,7.0,22,1,5.0,81,1,9.0,1,0,8.5,3,1,9.5,2,1,3.0,101,1,3.0,137,1,7.0,13,1,3.0,152,1,1.5,179,1,8.0,13,1,9.0,4,1,9.0,2,0,9.0,7,1,9.0,1,1,7.0,21,1,1.5,184,1,2.0,160,1,3.5,168,1,3.0,170,1,2.5,157,1,1.5,186,1,1.5,185,1,1.5,187,1,1.5,184,1,2.0,161,1,2.0,171,1,4.0,105,1,official_open_data_snapshot_derived_ranks,d80b981bc103a72ee3aed5159b9f686a401a184d390e83f79b79531e96bc0693
2025,2024,7,Africa,Central Africa,COG,Republic of the Congo,5.03,99,1,4.37,131,0,5.7,74,1,3.08,163,1,7.0,56,1,4.0,132,1,3.5,95,1,4.0,120,1,5.5,80,1,4.0,115,1,8.0,8,1,7.0,23,1,4.5,94,1,1.0,170,1,6.0,61,1,2.0,188,1,2.0,169,1,2.0,163,1,5.0,146,1,3.5,98,1,6.5,57,1,8.5,24,1,6.0,76,1,4.0,123,1,3.0,148,1,1.5,178,1,5.0,130,1,4.0,145,1,2.0,168,1,4.5,102,1,3.0,156,1,3.0,160,1,3.0,153,1,2.0,161,1,3.5,136,1,2.5,157,1,official_open_data_snapshot_derived_ranks,523046089a012b7821eeb44d82ee243925366bb4bf9f404c6a41926977413f67
2025,2024,8,Africa,Central Africa,GNQ,Equatorial Guinea,4.37,137,0,3.53,162,1,5.2,97,1,2.08,181,1,5.0,125,1,2.0,173,1,2.0,129,1,4.0,120,1,2.5,168,1,2.0,166,1,8.5,2,1,5.0,81,1,6.0,67,1,1.0,170,1,2.5,151,1,3.5,159,1,1.0,187,1,1.0,189,1,7.0,53,1,1.0,146,1,2.0,186,1,9.0,7,1,5.5,96,1,8.5,1,0,1.5,184,1,1.5,178,1,2.5,184,1,3.5,159,1,1.5,183,1,2.0,174,1,3.5,142,1,2.0,179,1,2.0,174,1,1.5,178,1,2.0,171,1,1.5,186,1,official_open_data_snapshot_derived_ranks,588d5ef39cb417978a68f76d4efb5457ca8032b21bc0c7104b74b0c2ac67bf2b
2025,2024,9,Africa,Central Africa,GAB,Gabon,4.7,120,0,4.5,122,1,4.9,115,1,3.5,148,0,5.5,100,1,5.5,88,1,1.0,168,1,2.5,161,1,7.0,22,1,4.0,115,1,8.5,2,1,7.0,23,1,3.0,127,1,2.5,118,1,3.0,137,1,4.0,145,1,5.0,97,1,2.5,150,1,6.5,80,1,1.0,146,1,4.5,143,1,7.5,62,1,6.0,76,1,5.5,68,1,3.0,148,1,2.5,150,1,4.5,150,1,4.0,145,1,3.0,127,1,4.5,102,1,5.0,90,1,2.0,179,1,3.0,153,1,3.0,133,1,3.5,136,1,4.0,105,1,official_open_data_snapshot_derived_ranks,9ae51337d904f0b0d731b22e86a5a23ff36e56d643933e95ea4bf9b0ff177d02
2025,2024,10,Africa,Central Africa,RWA,Rwanda,3.87,158,1,4.13,140,1,3.6,165,1,5.0,87,1,5.5,100,1,2.5,163,1,1.0,168,1,6.0,66,1,6.0,55,1,4.0,115,1,2.0,132,1,4.0,116,1,8.5,13,1,3.0,101,1,3.0,137,1,4.0,145,1,1.5,177,1,4.5,95,1,6.5,80,1,2.0,129,1,3.0,175,1,6.0,107,1,4.0,155,1,3.0,160,1,4.5,88,1,4.0,94,1,5.0,130,1,6.0,69,1,4.5,79,1,5.5,56,1,6.5,34,1,5.5,47,1,5.5,50,1,5.0,52,1,5.5,52,1,2.5,157,1,official_open_data_snapshot_derived_ranks,69a6d49fbd68b965898612e56d12a4988fbea4a0886c6eb4a79fcd385988f964
