rank,iso3,country,score,percentile,data_quality,institutional_environment,educational_infrastructure,corporate_strategies,international_cooperation
1,USA,США,76.25229689264707,100.0,1.0,88.46276755562833,81.73266821678382,54.46482509487507,80.0029913249304
2,BHR,Бахрейн,71.45200296116104,99.2593,0.775,80.5433208635842,82.0281663404193,,50.391142739153096
3,SGP,Сингапур,70.49067546481784,98.5185,1.0,97.38928771020207,70.45333375536073,58.2332668784549,52.24518345522691
4,GBR,Великобритания,69.86604237947536,97.7778,1.0,84.77669325634717,75.35336556864108,49.97440789295007,67.86128710779361
5,IRL,Ирландия,68.87369267352713,97.037,1.0,85.0067936797548,63.5529726905138,75.22578872116543,48.74827633071464
6,ISL,Исландия,67.85309772644545,96.2963,1.0,87.11936467167637,72.3501463919561,52.40543799684643,56.3342657086396
7,SWE,Швеция,66.25183231934525,95.5556,1.0,89.9379862093584,65.36725182515211,54.31375335718873,52.89360940081418
8,CHE,Швейцария,65.18489310641003,94.8148,1.0,93.0583994500935,60.127612199091544,53.05197547272713,53.095078579887044
9,FIN,Финляндия,65.07539377815596,94.0741,1.0,93.54303986538619,64.14016856126547,50.19140379130773,49.4986614780142
10,ISR,Израиль,64.70356016989315,93.3333,1.0,81.35366419272883,60.195784062399646,78.97100172722219,32.818292355927525
11,LUX,Люксембург,64.25549034272446,92.5926,1.0,89.89105730636183,75.5269840893612,26.63568978314823,62.32854171769296
12,KOR,Республика Корея,63.673262071931056,91.8519,1.0,84.9453980664107,63.39880905582536,58.704336565351795,43.70592848621408
13,JPN,Япония,63.44669850509994,91.1111,1.0,85.10237709693116,67.21502711671772,51.806571667456865,45.274765894938106
14,LTU,Литва,62.91495055325986,90.3704,1.0,85.77150683569916,78.59271117202618,25.830801462725898,57.1828006352287
15,MLT,Мальта,62.693659335184435,89.6296,1.0,77.0208469359516,68.79626866716073,37.616615711440545,66.9770653659409
16,DEU,Германия,62.58388316208669,88.8889,1.0,84.0327637535547,64.96682656306521,45.50550611938076,53.546338624666326
17,SVN,Словения,62.533188914154564,88.1481,1.0,78.25651275327652,75.60443463697455,37.758233443393664,54.2408598694733
18,NLD,Нидерланды,62.52231505345878,87.4074,1.0,88.9538330718446,60.61084964963596,48.09635266188006,50.38256862568415
19,CAN,Канада,62.394251021656984,86.6667,1.0,86.5527271216282,66.97976357798555,42.421414632805266,50.28393254826478
20,DNK,Дания,62.12324608147763,85.9259,1.0,94.54970182230082,61.45483019613406,41.619535481606064,48.22243848330343
21,FRA,Франция,61.23032109390242,85.1852,1.0,81.71171020968157,66.80654636833529,44.015343553382266,48.782968713179436
22,CYP,Кипр,60.82837877556488,84.4444,1.0,72.46232596487147,64.9723296989688,41.91959850053075,63.70599374761841
23,AUS,Австралия,60.74510162646091,83.7037,1.0,88.816804774834,63.673482914062795,35.938039067453,52.27172895835164
24,CHN,Китай,60.060179385125934,82.963,1.0,72.3994012774722,73.58833959967546,44.857759805585225,43.346936172294704
25,BEL,Бельгия,59.818929210215956,82.2222,1.0,83.37690109777726,58.890896567514055,49.43612043916786,44.74202427862726
26,AUT,Австрия,59.145083788054826,81.4815,1.0,85.33662207983583,57.637575383918325,45.82163183208586,45.3212384744945
27,MYS,Малайзия,58.56718623994187,80.7407,1.0,80.32021870025804,68.26960430318665,49.640440470477905,27.980700781509412
28,SVK,Словакия,58.2729014669009,80.0,1.0,69.32279426387167,72.58132532405016,33.384178130030264,54.10880385605185
29,NOR,Норвегия,58.072620337330534,79.2593,1.0,90.56734610084486,59.15646600528315,38.35108584943076,40.48036274088338
30,HRV,Хорватия,57.81240675265002,78.5185,1.0,68.88477931765476,80.9474765353131,28.51684891302213,45.88878367193435
31,NZL,Новая Зеландия,57.734498813261034,77.7778,1.0,89.9130660254865,59.6936026625794,38.93346539118373,38.07392580159823
32,CZE,Чехия,57.0324521406507,77.037,1.0,81.12024133283747,60.4679120841136,42.122915406872934,40.406446652445084
33,SRB,Сербия,56.75833094104862,76.2963,1.0,62.8298428965179,74.45100129782242,37.36650956469965,46.86971218198755
34,LVA,Латвия,56.58348447874567,75.5556,1.0,76.78102806310369,75.05138817336324,23.86699753553093,44.5303081353902
35,BRN,Бруней,56.52726372770252,74.8148,1.0,77.57576996533567,83.77477305119976,18.055342445237397,37.4352685484966
36,EST,Эстония,56.48831646115664,74.0741,1.0,85.45552158541582,56.807766270302864,42.232915254083736,37.619386850954456
37,BGR,Болгария,56.45862955377305,73.3333,1.0,65.0809673276547,68.97220439685047,39.8091059761677,47.72224954381156
38,PHL,Филиппины,55.968880454910874,72.5926,1.0,60.64693457863843,69.6479773213531,53.57275032544119,32.597830162425204
39,PRT,Португалия,55.61876052426885,71.8519,1.0,78.9284519989189,63.62877458961825,34.201265719112264,41.23849358937794
40,HKG,Гонконг,55.281373388893755,71.1111,1.0,88.21655462397935,67.8626213273502,35.201184495093905,20.340761054601906
41,GEO,Грузия,54.279883869780335,70.3704,1.0,78.02014968426836,67.17695624851193,20.157735357124253,47.91162867439305
42,ESP,Испания,54.25987783002644,69.6296,1.0,77.01520816976236,60.44723841460024,32.107343794678364,44.22534157268091
43,ITA,Италия,54.21407057754325,68.8889,1.0,74.63840598900757,62.586128909920795,32.02339715015743,43.863905598878766
44,SAU,Саудовская Аравия,54.16166428897805,68.1481,0.875,76.77886641585003,53.73038207446352,,29.108050029168357
