source_id,source_code,source_name,title,owner,official_url,release_year,retrieved_at,access_mode,update_frequency,automation_status,source_role,latest_snapshot_id,is_official,free_access,license_or_terms,license_note,terms_url,storage_allowed,transformation_allowed,redistribution_allowed,release_archive_decision,review_status,evidence_path,notes
BICC_GMI,BICC_GMI,Global Militarisation Index,Global Militarisation Index,Bonn International Centre for Conflict Studies (BICC),https://gmi.bicc.de/ranking-table?year=2022,2025,2026-07-17T09:14:00Z,official_metadata_methodology_and_ranking_reference,annual,latest_report_catalogued_numeric_snapshot_not_captured,numeric_source,,True,True,BICC terms apply; official report files and direct BICC exports are referenced but not bundled.,Original index publisher and authoritative methodology/report catalogue. The newest catalogued edition is GMI 2025; the active bundled numeric layer is explicitly older.,https://gmi.bicc.de/,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"BICC is the underlying index creator. No official PDF or direct BICC export is redistributed in this patch. | Normalised to central GIR include/exclude_raw_keep_derived policy; operator rights recorded. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
CLOUDFLARE_RADAR_IQI,CLOUDFLARE_RADAR_IQI,Cloudflare Radar Internet Quality Index (IQI),Cloudflare Radar Internet Quality Index (IQI),"Cloudflare, Inc.",https://api.cloudflare.com/client/v4/radar/quality/iqi/summary,2026,2026-07-21T22:36:30Z,internal_offline_academic_release,continuous rolling observations,authorised_local_snapshot_installed_internal_offline_release,numeric_source,CLOUDFLARE_RADAR_IQI:2026:b45108939c1f8733,True,False,Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),"GIR internal offline academic release, authorized by project owner, 2026-07-21; official Cloudflare Radar API snapshot fetched with project-owner authorization for the local offline academic release",https://creativecommons.org/licenses/by-nc/4.0/,1,1,0,internal_offline_academic_release_local_only,project_owner_attested,local:internal_offline_academic_release,"GIR internal offline academic release, authorized by project owner, 2026-07-21. Raw/source files remain local and are not public release artifacts."
CORPORATE_REPORTS_HTEI,CORPORATE_REPORTS_HTEI,Corporate reporting evidence register for high-technology workforce strategy,Corporate reporting evidence register for high-technology workforce strategy,Public companies and reporting issuers,local:methodology/corporate-report-register,2026,2026-07-09T17:25:48+00:00,checksum-verified official report register,curated per release,implemented_audit_register,audit_register,CORPORATE_REPORTS_HTEI:2026:33177cbd6af45e2b,False,True,Source-specific issuer terms recorded per report,Source-specific issuer terms recorded per report,local:docs/DATA_DISTRIBUTION_POLICY.md,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
DHL_GCI,DHL_GCI,DHL Global Connectedness Report 2026,DHL Global Connectedness Report 2026 — scores and ranks 2001–2024,DHL Group / DHL Initiative on Globalization at NYU Stern,https://ultraviolet.library.nyu.edu/records/rm518-hve77,2026,2026-07-17T00:00:00Z,internal_offline_academic_release,biennial_report_with_periodic_tracker_updates,official_csv_imported_internal_offline_release,numeric_source,DHL_GCI:2026:f3d9368c084daf66,True,False,All Rights Reserved; DHL website terms and any repository/file-specific terms apply.,"GIR internal offline academic release, authorized by project owner, 2026-07-21; official DHL GCI CSV imported with project-owner authorization for the local offline academic release",https://www.dhl.com/global-en/home/footer/terms-of-use.html,1,1,0,internal_offline_academic_release_local_only,project_owner_attested,local:internal_offline_academic_release,"GIR internal offline academic release, authorized by project owner, 2026-07-21. Raw/source files remain local and are not public release artifacts."
EUROSTAT_HTEC,EUROSTAT_HTEC,"Eurostat high-technology sectors, HRST and R&D datasets","Eurostat high-technology sectors, HRST and R&D datasets",Eurostat,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/,2025,2026-07-10T11:05:55+00:00,official Eurostat Statistics API,regular,implemented_official_json_api,numeric_source,EUROSTAT_HTEC:2025:7938563ae48e0c7d,True,True,Eurostat reuse policy,Eurostat reuse policy,https://ec.europa.eu/eurostat/about-us/policies/copyright,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
GEONAMES,GEONAMES,GeoNames,GeoNames geographical database,GeoNames,https://www.geonames.org/,2026,2026-07-17T00:00:00+00:00,bulk_download_and_web_services,daily,bundled_reference_with_operator_refresh,numeric_source,GEONAMES_QS_CITY_CENTROIDS_2026_GIR_V1,True,True,Creative Commons Attribution 4.0 (CC BY 4.0),Coordinates are WGS84 populated-place centroids. GIR performs the institution-to-city match and labels every coordinate as approximate unless a future source provides a campus coordinate.,https://www.geonames.org/export/,1,1,1,include,project_policy_approved,docs/UNIVERSITY_GEOGRAPHY.md,GeoNames publishes the gazetteer under CC BY 4.0 and permits commercial use with attribution. GIR publishes a derived institution-to-city crosswalk and discloses that coordinates are approximate WGS84 city centroids. This project policy record is not legal advice.
GITOC_GOCI,GITOC_GOCI,Global Organized Crime Index,Global Organized Crime Index official open-data workbook,Global Initiative Against Transnational Organized Crime (GI-TOC),https://ocindex.net/assets/downloads/global_oc_index.xlsx,2025,2026-07-17T12:23:35Z,official_open_data_excel_workbook,biennial,implemented_official_open_data_workbook,numeric_source,GITOC_GOCI:2025:0bdfe8943de5a82b,True,True,The official downloads page labels the database as Open data and invites users to download it.,No formal machine-readable licence was identified on the download page; redistribution remains registered for legal review.,https://ocindex.net/downloads,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"The official page labels the database Open data and invites download, but no formal machine-readable licence was identified. Review redistribution terms before commercial release packaging. | Normalised to central GIR include/exclude_raw_keep_derived policy; operator rights recorded. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
HARVARD_GROWTH_LAB_ATLAS_ECI,HARVARD_GROWTH_LAB_ATLAS_ECI,Atlas of Economic Complexity — Economic Complexity Index,Economic Complexity Index,Growth Lab at Harvard University,https://atlas.hks.harvard.edu/api/graphql,2024,2026-07-20T18:39:18Z,official GraphQL API or official data snapshot,annual with interim revisions,implemented_verified_official_import,numeric_source,HARVARD_GROWTH_LAB_ATLAS_ECI:2024:e4d348e0dd3dfd74,True,True,Atlas usage and citation guidance; file-specific requirements apply,GIR stores the official ECI value and derives only clearly labelled rank/percentile views.,https://atlas.hks.harvard.edu/data-downloads/,1,1,0,exclude_raw_keep_derived,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative source-handling policy for the Economy & Finance module family; dataset-specific terms remain authoritative. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
HTEI_FINAL_V6,HTEI_FINAL_V6,HTEI final comparison methodology v6,HTEI final comparison methodology v6,MGIMO / FNISC RAS,local:docs/HTEI_METHODOLOGY_V6.md,2026,2026-07-11T00:00:00+00:00,derived from archived official observations,annual,automated,numeric_source,HTEI_FINAL_V6:2026,False,True,Project methodology; underlying sources retain their own terms,Authorial composite required by the approved research report.,local:docs/HTEI_METHODOLOGY_V6.md,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
HTEI_MULTI_SOURCE,HTEI_MULTI_SOURCE,Legacy HTEI observation-staging manifest (superseded by scientific v5),Legacy HTEI observation-staging manifest (superseded by scientific v5),MGIMO / FNISC RAS,local:methodology/htei-observation-staging-v3,2026,2026-07-10T11:14:08+00:00,computed manifest from official archived snapshots,per release build,implemented_reproducible_transform,qualitative_evidence,HTEI_MULTI_SOURCE:2026:9478115b63487ee0,False,True,Project methodology; underlying values retain original official source terms,Project methodology; underlying values retain original official source terms,local:docs/HTEI_METHODOLOGY_V6.md,1,1,1,include,authorization_recorded_not_legal_opinion,local:internal_offline_academic_release,"Conservative archive policy. This record documents distribution handling and is not a substitute for legal advice. | release_mode=internal_offline_academic_release; attestation=GIR internal offline academic release, authorized by project owner, 2026-07-21"
